,P_score,predict,real,stock_name,stock_code,Date
0,36.46,M0,P0,일신석재,7110,2019-02-26
0,61.11,P0,P0,헬릭스미스,84990,2019-02-27
0,33.63,M0,P0,LG전자,66570,2019-02-27
0,16.49,M0,P0,판타지오,32800,2019-02-27
0,65.67,P0,P1,풍강,93380,2019-03-04
0,38.14,M0,P0,IHQ,3560,2019-03-04
0,35.63,M0,P0,YBM넷,57030,2019-03-04
0,24.78,K0,P0,태림포장,11280,2019-03-04
0,25.58,M0,P1,성호전자,43260,2019-03-06
0,54.68,P0,P0,코디엠,224060,2019-03-07
0,0,M0,P0,삼성전자,5930,2019-03-07
0,51.27,P0,P0,삼성중공업,10140,2019-03-11
0,47.99,P0,M0,에스코넥,96630,2019-03-11
0,41.26,P0,M0,디피씨,26890,2019-03-11
0,20,M0,P0,필룩스,33180,2019-03-11
0,41.99,M0,P0,부방,14470,2019-03-12
0,27.9,M0,P0,라온시큐어,42510,2019-03-12
0,22.51,M0,P0,로스웰,900260,2019-03-12
0,28.37,M0,P0,미코,59090,2019-03-14
0,0,K0,P0,에스코넥,96630,2019-03-14
0,0,M0,P0,로스웰,900260,2019-03-15
0,44.4,M0,P0,한창,5110,2019-03-18
0,36.02,M0,P0,에이티넘인베스트,21080,2019-03-18
0,27.2,M0,P0,라온시큐어,42510,2019-03-18
0,21.78,M0,P0,바이넥스,53030,2019-03-18
0,90.71,P0,P0,웰크론,65950,2019-03-19
0,35.4,M0,P0,엘비세미콘,61970,2019-03-19
0,19.84,M0,P0,에스코넥,96630,2019-03-19
0,47.95,M0,M0,CMG제약,58820,2019-03-20
0,100,P0,P0,우리기술,32820,2019-03-22
0,31.87,M0,P0,미코,59090,2019-03-25
0,64.27,P0,P0,메리츠증권,8560,2019-03-26
0,61.46,P0,P0,대성창투,27830,2019-03-26
0,54.1,P0,P0,이지홀딩스,35810,2019-03-26
0,26.81,M0,P0,디피씨,26890,2019-03-26
0,23.9,M0,P0,에이티넘인베스트,21080,2019-03-26
0,35.92,M0,P0,현대약품,4310,2019-03-27
0,86.78,P0,P0,인트로메딕,150840,2019-04-01
0,35.76,M0,P0,나노,187790,2019-04-01
