,P_score,predict,real,stock_name,stock_code,Date
0,50.9,P0,M0,엘비세미콘,061970,2019-04-30
0,37.43,M0,P0,아시아나항공,020560,2019-04-30
0,49.71,P0,P0,아모레퍼시픽,090430,2019-05-02
0,45.37,M0,P1,유니온머티리얼,047400,2019-05-02
0,21.57,M0,P0,CJ씨푸드,011150,2019-05-03
0,19.36,M0,P0,마니커,027740,2019-05-03
0,51.4,P0,P0,호텔신라,008770,2019-05-10
0,35.27,M0,P0,CMG제약,058820,2019-05-10
0,25.41,M0,P0,네패스,033640,2019-05-10
0,11.58,K0,P0,CJ씨푸드,011150,2019-05-13
0,35.57,M0,P0,아남전자,008700,2019-05-14
0,27.31,M0,P0,마니커,027740,2019-05-14
0,11.32,M0,P0,기가레인,049080,2019-05-15
0,25.0,M0,K0,아이에이,038880,2019-05-17
0,12.98,K0,M0,태림포장,011280,2019-05-17
0,37.34,M0,P0,현대차,005380,2019-05-20
0,56.59,P0,P0,오리엔트바이오,002630,2019-05-21
0,52.16,M0,M0,유니온머티리얼,047400,2019-05-21
0,75.71,P0,P0,호텔신라,008770,2019-05-22
0,70.49,P0,P0,에이스테크,088800,2019-05-22
0,33.9,M0,P0,기아차,000270,2019-05-23
0,23.85,M0,P0,SCI평가정보,036120,2019-05-24
0,64.11,P0,M0,우리기술투자,041190,2019-05-27
0,56.61,P0,K0,KB금융,105560,2019-05-28
0,43.7,M0,P0,에이루트,096690,2019-05-28
0,41.9,M0,P0,동진쎄미켐,005290,2019-05-28
0,83.09,P0,P0,우리기술투자,041190,2019-05-30
0,44.89,M0,P0,신일전자,002700,2019-05-30
0,43.2,M0,P0,라이브플렉스,050120,2019-05-30
0,33.12,M0,M0,휠라홀딩스,081660,2019-05-30
0,72.38,P0,P0,엘비세미콘,061970,2019-05-31
0,0.0,K0,M0,맥쿼리인프라,088980,2019-06-04
0,43.95,M0,P0,SFA반도체,036540,2019-06-05
0,33.36,M0,M0,국일제지,078130,2019-06-05
0,51.47,M0,P0,인콘,083640,2019-06-07
0,33.49,M0,M0,유니온,000910,2019-06-07
0,100.0,P0,P0,유니온머티리얼,047400,2019-06-10
0,33.71,M0,P0,국일제지,078130,2019-06-10
