,Date,stock_name,today_big_win,today_small_win,today_lose,tomorrow_big_win,tomorrow_small_win,tomorrow_lose,day2_big_win,day2_small_win,day2_lose,real_profit,Nasdaq,P_score
0,2018-12-19,서린바이오,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014641127256715104,U04,43.59
0,2018-12-19,콤텍시스템,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06390977443609022,U04,39.25
0,2018-12-19,LG유플러스,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026392961876832845,U04,0.0
0,2018-12-20,세우글로벌,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02997275204359673,D04,69.02
0,2018-12-20,현대건설,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012522361359570662,D04,30.89
0,2018-12-20,다날,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192090395480226,D04,0.0
0,2018-12-21,삼성중공업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.06666666666666667,D04,63.51
0,2018-12-21,금호에이치티,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012647554806070826,D04,39.02
0,2018-12-21,지어소프트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.03139717425431711,D04,38.06
0,2018-12-21,한화솔루션,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,D04,30.19
0,2018-12-24,한온시스템,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,D04,39.53
0,2018-12-24,영화금속,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.03636363636363636,D04,0.0
0,2018-12-26,세우글로벌,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,D04,92.94
0,2018-12-26,국일제지,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,D04,43.67
0,2018-12-26,스카이이앤엠,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,D04,31.3
0,2018-12-27,대우건설,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04046242774566474,U04,69.64
0,2018-12-27,보해양조,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,U04,65.4
0,2018-12-27,엘비세미콘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,U04,63.34
0,2018-12-27,남선알미늄,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07240704500978473,U04,60.33
0,2018-12-27,풍국주정,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013623978201634877,U04,57.95
0,2018-12-28,KC코트렐,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,U04,54.32
0,2018-12-28,대영포장,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.075,U04,53.99
0,2018-12-28,대아티아이,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.045454545454545456,U04,50.61
0,2018-12-28,대신정보통신,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012422360248447204,U04,50.12
0,2018-12-28,윌비스,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06048387096774194,U04,48.23
0,2019-01-03,대아티아이,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018018018018018018,U04,51.17
0,2019-01-03,현대차,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021929824561403508,U04,18.36
0,2019-01-03,동양물산,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027516778523489934,U04,16.82
0,2019-01-04,한진칼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.02564102564102564,D04,27.03
0,2019-01-07,티케이케미칼,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02490421455938697,U04,0.0
0,2019-01-09,에이스테크,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03313840155945419,U04,85.2
0,2019-01-09,시노펙스,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01916376306620209,U04,54.6
0,2019-01-09,SG&G,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02188183807439825,U04,48.14
0,2019-01-09,한진칼,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031578947368421054,U04,43.18
0,2019-01-09,파워로직스,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038394415357766144,U04,35.84
0,2019-01-10,한창제지,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,U04,24.33
0,2019-01-10,에이비프로바이오,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03116883116883117,U04,24.12
0,2019-01-10,국일제지,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044642857142857144,U04,17.34
0,2019-01-11,유엔젤,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,U04,80.55
0,2019-01-11,이엑스티,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019963702359346643,U04,64.51
0,2019-01-11,현대로템,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017985611510791366,U04,56.95
0,2019-01-11,세우글로벌,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055248618784530384,U04,50.69
0,2019-01-11,진매트릭스,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0563564875491481,U04,42.25
0,2019-01-14,YBM넷,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027142857142857142,T01,56.39
0,2019-01-14,대신정보통신,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02287581699346405,T01,54.87
0,2019-01-14,포비스티앤씨,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07711651299245599,T01,50.81
0,2019-01-14,한일단조,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,T01,48.9
0,2019-01-14,남선알미늄,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05588822355289421,T01,42.65
0,2019-01-15,넥슨지티,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,D04,61.52
0,2019-01-15,부광약품,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.012933171105403091,D04,56.96
0,2019-01-15,LG유플러스,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01488095238095238,D04,46.62
0,2019-01-15,신풍제약,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01566951566951567,D04,43.41
0,2019-01-15,바이오스마트,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,D04,41.56
0,2019-01-16,지어소프트,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.075,U04,46.06
0,2019-01-16,에스씨디,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,U04,43.81
0,2019-01-16,GH신소재,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039285714285714285,U04,20.74
0,2019-01-16,모나리자,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,U04,18.12
0,2019-01-18,KPX생명과학,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,U04,63.12
0,2019-01-18,윌비스,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.027972027972027972,U04,62.12
0,2019-01-18,대호피앤씨,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,U04,59.53
0,2019-01-18,쏠리드,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,U04,53.13
0,2019-01-18,신풍제약,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04451038575667656,U04,40.76
0,2019-01-21,SG충방,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01609657947686117,U04,37.53
0,2019-01-21,에이티넘인베스트,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04157043879907621,U04,33.81
0,2019-01-21,다산네트웍스,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,U04,28.64
0,2019-01-21,디피씨,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02577319587628866,U04,26.82
0,2019-01-21,아난티,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,U04,0.0
0,2019-01-22,한솔홈데코,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.025559105431309903,U04,39.46
0,2019-01-22,부광약품,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,U04,0.0
0,2019-01-23,동양물산,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06711409395973154,D04,59.77
0,2019-01-23,현대건설,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015025041736227046,D04,51.36
0,2019-01-23,LG디스플레이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.027848101265822784,D04,49.22
0,2019-01-23,화인베스틸,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01584786053882726,D04,48.92
0,2019-01-23,우리기술,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.028,D04,43.26
0,2019-01-24,풍국주정,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.075,U01,62.53
0,2019-01-24,티플랙스,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010115606936416185,U01,62.28
0,2019-01-24,한진칼,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.048986486486486486,U01,33.63
0,2019-01-24,대아티아이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.011764705882352941,U01,32.48
0,2019-01-24,동양철관,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014792899408284023,U01,18.29
0,2019-01-25,현대로템,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.06104129263913824,U04,72.92
0,2019-01-25,바른손이앤에이,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030534351145038167,U04,60.0
0,2019-01-25,우리기술,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02390438247011952,U04,34.68
0,2019-01-25,스카이이앤엠,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08466819221967964,U04,0.0
0,2019-01-28,오텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.021739130434782608,U04,47.81
0,2019-01-28,성호전자,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.013457556935817806,U04,40.55
0,2019-01-28,국영지앤엠,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,U04,39.32
0,2019-01-28,엘컴텍,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.03608247422680412,U04,34.23
0,2019-01-28,영신금속,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014077425842131725,U04,22.61
0,2019-01-29,케이탑리츠,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027410207939508508,D04,79.81
0,2019-01-29,대한항공,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.051200925358916786,D04,51.24
0,2019-01-29,남선알미늄,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,D04,45.15
0,2019-01-29,KEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.004366812227074236,D04,38.85
0,2019-01-29,뉴인텍,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03271180896303565,D04,32.68
0,2019-01-30,티플랙스,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029827315541601257,D04,93.71
0,2019-01-30,영흥,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016260162601626018,D04,75.05
0,2019-01-30,재영솔루텍,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,D04,67.13
0,2019-01-30,동국알앤에스,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,D04,65.16
0,2019-01-30,KC코트렐,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02524271844660194,D04,64.52
0,2019-01-31,광전자,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,U04,97.46
0,2019-01-31,에이스테크,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036468330134357005,U04,84.06
0,2019-01-31,대한뉴팜,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0091324200913242,U04,72.73
0,2019-01-31,오텍,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02666666666666667,U04,55.13
0,2019-01-31,대우부품,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,U04,46.43
0,2019-02-01,이랜텍,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04030226700251889,U04,75.8
0,2019-02-01,파워로직스,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.033783783783783786,U04,64.4
0,2019-02-01,코콤,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02478134110787172,U04,64.16
0,2019-02-01,캠시스,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,U04,53.57
0,2019-02-01,국일제지,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022935779816513763,U04,48.75
0,2019-02-07,SH에너지화학,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012711864406779662,D04,73.79
0,2019-02-07,삼진엘앤디,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01935483870967742,D04,60.1
0,2019-02-07,에스코넥,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026881720430107527,D04,54.98
0,2019-02-07,KTcs,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.029239766081871343,D04,52.24
0,2019-02-07,디피씨,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04777070063694268,D04,49.66
0,2019-02-08,대한뉴팜,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,D04,78.64
