,날짜,종목코드,회사명,거래량
5293,2018-05-18,105740,디케이락,1292983.0
3811,2018-05-18,057540,옴니시스템,1331298.0
619,2018-05-18,004830,덕성,125471.0
4478,2018-05-21,076080,웰크론한텍,89549.0
2442,2018-05-21,032820,우리기술,11848879.0
189,2018-05-21,001510,SK증권,2102916.0
1945,2018-05-21,020180,대신정보통신,1540881.0
6669,2018-05-21,261200,덴티스,1016.0
425,2018-05-21,003310,대주산업,621253.0
5125,2018-05-21,097780,에스맥,9722605.0
3696,2018-05-23,053590,한국테크놀로지,8583967.0
380,2018-05-23,002900,동양물산,2897317.0
1271,2018-05-23,010170,대한광통신,1203272.0
5228,2018-05-23,102280,쌍방울,4015454.0
1753,2018-05-23,015760,한국전력,1238308.0
6609,2018-05-23,256840,한국비엔씨,20625.0
2114,2018-05-23,024810,이화전기,24575018.0
209,2018-05-23,001780,알루코,3295643.0
2156,2018-05-23,025750,한솔홈데코,5466142.0
235,2018-05-23,002410,범양건영,487454.0
2562,2018-05-23,034020,두산중공업,1425667.0
1363,2018-05-23,011200,HMM,4953512.0
4174,2018-05-23,065950,웰크론,2674470.0
3812,2018-05-23,057540,옴니시스템,906876.0
4838,2018-05-23,090850,이지웰,136491.0
157,2018-05-23,001440,대한전선,27511705.0
961,2018-05-23,006910,보성파워텍,3597671.0
1836,2018-05-23,017550,수산중공업,1332532.0
2360,2018-05-23,031820,콤텍시스템,1413909.0
5983,2018-05-23,195990,에이비프로바이오,12720777.0
5655,2018-05-24,133820,화인베스틸,168349.0
851,2018-05-24,005690,파미셀,2913131.0
2929,2018-05-24,038530,골드퍼시픽,119365.0
4541,2018-05-24,081150,티플랙스,20126625.0
13,2018-05-24,000180,성창기업지주,232111.0
1715,2018-05-24,015260,에이엔피,4393054.0
936,2018-05-24,006800,미래에셋대우,2511396.0
1986,2018-05-24,021040,대호피앤씨,1189288.0
3773,2018-05-24,055550,신한지주,477225.0
1700,2018-05-24,014710,사조씨푸드,38923.0
2981,2018-05-24,039200,오스코텍,445423.0
2871,2018-05-25,038010,제일테크노스,103119.0
6448,2018-05-25,226440,한송네오텍,5285366.0
5188,2018-05-25,100090,삼강엠앤티,649923.0
5229,2018-05-25,102280,쌍방울,1594682.0
1336,2018-05-25,011150,CJ씨푸드,418777.0
788,2018-05-25,005360,모나미,111142.0
2506,2018-05-25,033250,체시스,605439.0
1,2018-05-25,000040,KR모터스,742423.0
2700,2018-05-25,036170,라이브파이낸셜,1539914.0
905,2018-05-25,006050,국영지앤엠,4346619.0
6163,2018-05-25,214310,세미콘라이트,2975672.0
3754,2018-05-25,054180,메디콕스,305304.0
1081,2018-05-25,008350,남선알미늄,6490964.0
2123,2018-05-25,024850,피에스엠씨,378202.0
6248,2018-05-25,217500,러셀,5497676.0
3998,2018-05-28,060370,KT서브마린,465399.0
4062,2018-05-28,064350,현대로템,3131890.0
14,2018-05-28,000180,성창기업지주,1024681.0
1584,2018-05-28,013570,디와이,137476.0
2081,2018-05-28,024740,한일단조,4213717.0
4175,2018-05-28,065950,웰크론,5862917.0
5094,2018-05-28,096630,에스코넥,4151621.0
4999,2018-05-28,095910,에스에너지,988624.0
3844,2018-05-28,057880,필로시스헬스케어,927891.0
3727,2018-05-28,054090,삼진엘앤디,6326678.0
1387,2018-05-28,011280,태림포장,164101.0
3813,2018-05-28,057540,옴니시스템,2459294.0
1946,2018-05-28,020180,대신정보통신,1119285.0
6171,2018-05-28,214330,금호에이치티,161847.0
5154,2018-05-28,099220,SDN,4414461.0
4456,2018-05-28,075970,동국알앤에스,604551.0
1966,2018-05-28,020560,아시아나항공,1419558.0
3697,2018-05-28,053590,한국테크놀로지,3737902.0
4969,2018-05-28,095190,이엠코리아,2057812.0
320,2018-05-28,002710,TCC스틸,90417.0
3558,2018-05-28,052300,W홀딩컴퍼니,7710377.0
5037,2018-05-28,096350,대창솔루션,3317871.0
1627,2018-05-28,013810,스페코,2582586.0
5375,2018-05-28,111870,삼본전자,489199.0
2443,2018-05-28,032820,우리기술,9051328.0
3445,2018-05-28,050090,휘닉스소재,1926377.0
1431,2018-05-28,011930,신성이엔지,6079607.0
962,2018-05-28,006910,보성파워텍,7892659.0
2287,2018-05-28,028050,삼성엔지니어링,3422551.0
1671,2018-05-28,014160,대영포장,623363.0
937,2018-05-28,006800,미래에셋대우,2623284.0
3299,2018-05-28,047040,대우건설,13248700.0
4571,2018-05-28,082800,루미마이크로,1100166.0
