,P_score,predict,real,stock_name,stock_code,Date,Nasdaq
0,75.0,P0,P0,현대바이오,48410,2019-04-19,T01
0,83.81,P0,M0,파세코,37070,2019-04-18,T01
0,78.21,P0,K0,미스터블루,207760,2019-04-18,T01
0,77.84,P0,K0,KG모빌리언스,46440,2019-04-18,T01
0,77.22,P0,M0,BGF,27410,2019-04-18,T01
0,75.74,P0,M0,포메탈,119500,2019-04-18,T01
0,90.1,P0,P0,나노신소재,121600,2019-04-17,U04
0,86.26,P0,M0,이미지스,115610,2019-04-17,U04
0,82.6,P0,P0,국보,1140,2019-04-17,U04
0,80.53,P0,K0,세원셀론텍,91090,2019-04-17,U04
0,76.83,P0,P0,현대미포조선,10620,2019-04-17,U04
0,100.0,P0,P0,골드퍼시픽,38530,2019-04-16,T01
0,96.28,P0,P0,태림포장,11280,2019-04-16,T01
0,84.91,P0,P0,에이텍티앤,224110,2019-04-16,T01
0,81.75,P0,M0,다믈멀티미디어,93640,2019-04-16,T01
0,75.9,P0,P0,아난티,25980,2019-04-16,T01
0,100.0,P0,M0,테라젠이텍스,66700,2019-04-15,U04
0,100.0,P0,P0,파인텍,131760,2019-04-15,U04
0,88.86,P0,M0,신원,9270,2019-04-15,U04
0,84.26,P0,P0,씨큐브,101240,2019-04-15,U04
0,81.23,P0,M0,신성델타테크,65350,2019-04-15,U04
0,100.0,P0,M0,부산주공,5030,2019-04-12,T01
0,93.9,P0,P0,인트론바이오,48530,2019-04-12,T01
0,88.93,P0,P0,나이벡,138610,2019-04-12,T01
0,84.21,P0,M0,LS ELECTRIC,10120,2019-04-12,T01
0,78.17,P0,M0,케이탑리츠,145270,2019-04-12,T01
0,94.82,P0,P0,화신,10690,2019-04-11,U04
0,92.32,P0,P0,효성,4800,2019-04-11,U04
0,88.3,P0,M0,SK하이닉스,660,2019-04-11,U04
0,76.72,P0,P0,아프리카TV,67160,2019-04-11,U04
0,76.1,P0,M0,한국화장품제조,3350,2019-04-11,U04
0,100.0,P0,P0,유니켐,11330,2019-04-10,D04
0,98.41,P0,P0,GST,83450,2019-04-10,D04
0,96.03,P0,K0,티웨이홀딩스,4870,2019-04-10,D04
0,84.21,P0,P0,디엔에이링크,127120,2019-04-10,D04
0,81.45,P0,P0,삼일제약,520,2019-04-10,D04
0,97.51,P0,P0,유진로봇,56080,2019-04-09,U03
0,89.81,P0,K0,대림B&Co,5750,2019-04-09,U03
