,종목코드,회사명
169,003560,IHQ
170,003570,S&T중공업
171,003580,넥스트사이언스
172,003610,방림
173,003620,쌍용차
174,003650,미창석유
175,003670,포스코케미칼
176,003680,한성기업
177,003690,코리안리
178,003720,삼영화학
179,003780,진양산업
180,003800,에이스침대
181,003830,대한화섬
182,003850,보령제약
183,003920,남양유업
184,003960,사조대림
185,004000,롯데정밀화학
186,004020,현대제철
187,004060,SG세계물산
188,004080,신흥
189,004090,한국석유
190,004100,태양금속
191,004140,동방
192,004150,한솔홀딩스
193,004170,신세계
194,004250,NPC
195,004270,남성
196,004310,현대약품
197,004360,세방
198,004370,농심
199,004380,삼익THK
200,004410,서울식품
201,004430,송원산업
202,004440,삼일씨엔에스
203,004450,삼화왕관
204,004490,세방전지
205,004540,깨끗한나라
206,004560,현대비앤지스틸
207,004590,한국가구
208,004650,창해에탄올
209,004690,삼천리
210,004700,조광피혁
211,004710,한솔테크닉스
212,004720,우리들제약
213,004770,써니전자
214,004780,대륙제관
215,004800,효성
216,004830,덕성
217,004840,DRB동일
218,004870,티웨이홀딩스
219,004890,동일산업
220,004910,조광페인트
221,004920,씨아이테크
222,004960,한신공영
223,004970,신라교역
224,004980,성신양회
225,004990,롯데지주
226,005010,휴스틸
227,005030,부산주공
228,005070,코스모신소재
229,005090,삼광글라스
230,005110,한창
231,005160,동국산업
232,005180,빙그레
233,005190,동성화학
234,005250,녹십자홀딩스
235,005290,동진쎄미켐
236,005300,롯데칠성
237,005320,국동
238,005360,모나미
239,005380,현대차
240,005390,신성통상
241,005420,코스모화학
242,005430,한국공항
243,005440,현대그린푸드
244,005490,POSCO
245,005500,삼진제약
246,005610,SPC삼립
247,005670,푸드웰
248,005680,삼영전자
249,005690,파미셀
250,005710,대원산업
251,005720,넥센
252,005740,크라운해태홀딩스
253,005750,대림B&Co
254,005800,신영와코루
255,005810,풍산홀딩스
256,005820,원림
257,005830,DB손해보험
258,005850,에스엘
259,005860,한일사료
260,005870,휴니드
261,005880,대한해운
262,005930,삼성전자
263,005940,NH투자증권
264,005950,이수화학
265,005960,동부건설
266,005990,매일홀딩스
267,006040,동원산업
268,006050,국영지앤엠
269,006060,화승인더
270,006090,사조오양
271,006110,삼아알미늄
272,006120,SK디스커버리
273,006140,피제이전자
274,006200,한국전자홀딩스
275,006220,제주은행
276,006260,LS
277,006280,녹십자
278,006340,대원전선
279,006360,GS건설
280,006370,대구백화점
281,006380,카프로
282,006390,한일현대시멘트
283,006400,삼성SDI
284,006490,인스코비
285,006570,대림통상
286,006580,대양제지
287,006620,동구바이오제약
288,006650,대한유화
289,006660,삼성공조
290,006730,서부T&D
291,006740,영풍제지
292,006800,미래에셋대우
