,종목코드,회사명,업종
106,002230,피에스텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
107,002240,고려제강,1차 철강 제조업
108,002270,롯데푸드,낙농제품 및 식용빙과류 제조업
109,002290,삼일기업공사,건물 건설업
110,002310,아세아제지,"골판지, 종이 상자 및 종이용기 제조업"
111,002320,한진,도로 화물 운송업
112,002350,넥센타이어,고무제품 제조업
113,002360,SH에너지화학,기초 화학물질 제조업
114,002380,KCC,기타 화학제품 제조업
115,002390,한독,의약품 제조업
116,002410,범양건영,건물 건설업
117,002420,세기상사,"영화, 비디오물, 방송프로그램 제작 및 배급업"
118,002450,삼익악기,악기 제조업
119,002460,화성산업,건물 건설업
120,002600,조흥,기타 식품 제조업
121,002620,제일파마홀딩스,회사 본부 및 경영 컨설팅 서비스업
122,002630,오리엔트바이오,의약품 제조업
123,002680,한탑,"곡물가공품, 전분 및 전분제품 제조업"
124,002690,동일제강,1차 철강 제조업
125,002700,신일전자,기계장비 및 관련 물품 도매업
126,002710,TCC스틸,1차 철강 제조업
127,002720,국제약품,의약품 제조업
128,002760,보락,기타 화학제품 제조업
129,002780,진흥기업,토목 건설업
130,002790,아모레G,기타 화학제품 제조업
131,002800,신신제약,의약품 제조업
132,002810,삼영무역,기타 전문 도매업
133,002820,선창산업,나무제품 제조업
134,002840,미원상사,기타 화학제품 제조업
135,002870,신풍제지,"펄프, 종이 및 판지 제조업"
136,002880,대유에이텍,자동차 신품 부품 제조업
137,002900,동양물산,특수 목적용 기계 제조업
138,002920,유성기업,자동차 신품 부품 제조업
139,002960,한국쉘석유,석유 정제품 제조업
140,002990,금호산업,건물 건설업
141,003000,부광약품,의약품 제조업
142,003010,혜인,기계장비 및 관련 물품 도매업
143,003030,세아제강지주,기타 금융업
144,003060,에이프로젠제약,의약품 제조업
145,003070,코오롱글로벌,토목 건설업
146,003080,성보화학,"비료, 농약 및 살균, 살충제 제조업"
147,003090,대웅,기타 금융업
148,003100,선광,기타 운송관련 서비스업
149,003120,일성신약,의약품 제조업
150,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
151,003200,일신방직,방적 및 가공사 제조업
152,003220,대원제약,의약품 제조업
153,003230,삼양식품,기타 식품 제조업
154,003240,태광산업,화학섬유 제조업
155,003280,흥아해운,해상 운송업
156,003300,한일홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업"
157,003310,대주산업,동물용 사료 및 조제식품 제조업
158,003350,한국화장품제조,기타 화학제품 제조업
159,003380,하림지주,기타 금융업
160,003410,쌍용양회,"시멘트, 석회, 플라스터 및 그 제품 제조업"
161,003460,유화증권,금융 지원 서비스업
162,003470,유안타증권,금융 지원 서비스업
163,003480,한진중공업홀딩스,연료용 가스 제조 및 배관공급업
164,003490,대한항공,항공 여객 운송업
165,003520,영진약품,의약품 제조업
166,003530,한화투자증권,금융 지원 서비스업
167,003540,대신증권,금융 지원 서비스업
168,003550,LG,기타 금융업
169,003560,IHQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
170,003570,S&T중공업,자동차 신품 부품 제조업
171,003580,넥스트사이언스,기타 비금속광물 광업
172,003610,방림,직물직조 및 직물제품 제조업
173,003620,쌍용차,자동차용 엔진 및 자동차 제조업
174,003650,미창석유,석유 정제품 제조업
175,003670,포스코케미칼,"내화, 비내화 요업제품 제조업"
176,003680,한성기업,수산물 가공 및 저장 처리업
177,003690,코리안리,재 보험업
178,003720,삼영화학,플라스틱제품 제조업
179,003780,진양산업,플라스틱제품 제조업
180,003800,에이스침대,가구 제조업
181,003830,대한화섬,화학섬유 제조업
182,003850,보령제약,의약품 제조업
183,003920,남양유업,낙농제품 및 식용빙과류 제조업
184,003960,사조대림,수산물 가공 및 저장 처리업
185,004000,롯데정밀화학,기초 화학물질 제조업
186,004020,현대제철,1차 철강 제조업
187,004060,SG세계물산,상품 종합 도매업
188,004080,신흥,기계장비 및 관련 물품 도매업
189,004090,한국석유,기타 비금속 광물제품 제조업
190,004100,태양금속,자동차 신품 부품 제조업
191,004140,동방,기타 운송관련 서비스업
192,004150,한솔홀딩스,기타 금융업
193,004170,신세계,종합 소매업
194,004250,NPC,플라스틱제품 제조업
195,004270,남성,기타 전문 도매업
196,004310,현대약품,의약품 제조업
197,004360,세방,도로 화물 운송업
198,004370,농심,기타 식품 제조업
199,004380,삼익THK,일반 목적용 기계 제조업
200,004410,서울식품,기타 식품 제조업
201,004430,송원산업,기타 화학제품 제조업
202,004440,삼일씨엔에스,"시멘트, 석회, 플라스터 및 그 제품 제조업"
203,004450,삼화왕관,기타 금속 가공제품 제조업
204,004490,세방전지,일차전지 및 축전지 제조업
