,종목코드,회사명,업종
586,023760,한국캐피탈,기타 금융업
587,023770,플레이위드,소프트웨어 개발 및 공급업
588,023790,동일철강,1차 철강 제조업
589,023800,인지컨트롤스,자동차 신품 부품 제조업
590,023810,인팩,자동차 신품 부품 제조업
591,023890,한국아트라스비엑스,일차전지 및 축전지 제조업
592,023900,풍국주정,알코올음료 제조업
593,023910,대한약품,의약품 제조업
594,023960,에쓰씨엔지니어링,토목 건설업
595,024060,흥구석유,기타 전문 도매업
596,024070,WISCOM,플라스틱제품 제조업
597,024090,디씨엠,1차 철강 제조업
598,024110,기업은행,은행 및 저축기관
599,024120,KB오토시스,자동차 신품 부품 제조업
600,024720,한국콜마홀딩스,기타 금융업
601,024740,한일단조,자동차 신품 부품 제조업
602,024800,유성티엔에스,육상 여객 운송업
603,024810,이화전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
604,024830,세원물산,자동차 신품 부품 제조업
605,024840,KBI메탈,1차 비철금속 제조업
606,024850,피에스엠씨,전자부품 제조업
607,024880,케이피에프,기타 금속 가공제품 제조업
608,024890,대원화성,플라스틱제품 제조업
609,024900,덕양산업,자동차 신품 부품 제조업
610,024910,경창산업,자동차 신품 부품 제조업
611,024940,PN풍년,기타 금속 가공제품 제조업
612,024950,삼천리자전거,생활용품 도매업
613,025000,KPX케미칼,기초 화학물질 제조업
614,025320,시노펙스,전자부품 제조업
615,025440,대성엘텍,영상 및 음향기기 제조업
616,025530,SJM홀딩스,자동차 부품 및 내장품 판매업
617,025540,한국단자,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
618,025550,한국선재,1차 철강 제조업
619,025560,미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
620,025620,제이준코스메틱,기타 화학제품 제조업
621,025750,한솔홈데코,제재 및 목재 가공업
622,025770,한국정보통신,전기 통신업
623,025820,이구산업,1차 비철금속 제조업
624,025860,남해화학,"비료, 농약 및 살균, 살충제 제조업"
625,025870,신라에스지,음·식료품 및 담배 도매업
626,025880,케이씨피드,동물용 사료 및 조제식품 제조업
627,025890,한국주강,특수 목적용 기계 제조업
628,025900,동화기업,나무제품 제조업
629,025950,동신건설,토목 건설업
630,025980,아난티,일반 및 생활 숙박시설 운영업
631,026040,제이에스티나,귀금속 및 장신용품 제조업
632,026150,특수건설,토목 건설업
633,026890,디피씨,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
634,026910,광진실업,1차 철강 제조업
635,026940,부국철강,1차 철강 제조업
636,026960,동서,음·식료품 및 담배 도매업
637,027040,서울전자통신,기계장비 및 관련 물품 도매업
638,027050,코리아나,기타 화학제품 제조업
639,027360,아주IB투자,기타 금융업
640,027410,BGF,기타 금융업
641,027580,상보,플라스틱제품 제조업
642,027710,팜스토리,동물용 사료 및 조제식품 제조업
643,027740,마니커,"도축, 육류 가공 및 저장 처리업"
644,027830,대성창투,신탁업 및 집합투자업
645,027970,세하,"펄프, 종이 및 판지 제조업"
646,028040,미래SCI,상품 중개업
647,028050,삼성엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업"
648,028080,휴맥스홀딩스,기타 금융업
649,028100,동아지질,기반조성 및 시설물 축조관련 전문공사업
650,028150,GS홈쇼핑,텔레비전 방송업
651,028260,삼성물산,기타 전문 도매업
652,028300,에이치엘비,선박 및 보트 건조업
653,028670,팬오션,해상 운송업
654,029460,케이씨,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
655,029480,릭스솔루션,통신 및 방송 장비 제조업
656,029530,신도리코,컴퓨터 및 주변장치 제조업
657,029780,삼성카드,기타 금융업
658,029960,코엔텍,폐기물 처리업
659,030000,제일기획,광고업
660,030190,NICE평가정보,기타 정보 서비스업
661,030200,KT,전기 통신업
662,030210,KTB투자증권,금융 지원 서비스업
663,030350,드래곤플라이,소프트웨어 개발 및 공급업
664,030520,한글과컴퓨터,소프트웨어 개발 및 공급업
665,030530,원익홀딩스,기타 금융업
666,030610,교보증권,금융 지원 서비스업
667,030720,동원수산,어로 어업
668,030790,비케이탑스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
669,030960,양지사,인쇄 및 인쇄관련 산업
670,031310,아이즈비전,전기 통신업
671,031330,에스에이엠티,기계장비 및 관련 물품 도매업
672,031390,녹십자셀,기초 의약물질 및 생물학적 제제 제조업
673,031430,신세계인터내셔날,"섬유, 의복, 신발 및 가죽제품 소매업"
674,031440,신세계푸드,음식점업
675,031510,오스템,자동차 신품 부품 제조업
676,031820,콤텍시스템,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
677,031860,엔에스엔,상품 종합 도매업
678,031980,피에스케이홀딩스,특수 목적용 기계 제조업
679,032080,아즈텍WB,"섬유제품 염색, 정리 및 마무리 가공업"
680,032190,다우데이타,기계장비 및 관련 물품 도매업
681,032280,삼일,도로 화물 운송업
682,032300,한국파마,의약품 제조업
683,032350,롯데관광개발,여행사 및 기타 여행보조 서비스업
684,032500,케이엠더블유,통신 및 방송 장비 제조업
685,032540,TJ미디어,영상 및 음향기기 제조업
686,032560,황금에스티,1차 비철금속 제조업
687,032580,피델릭스,반도체 제조업
688,032620,유비케어,소프트웨어 개발 및 공급업
689,032640,LG유플러스,전기 통신업
690,032680,소프트센,기계장비 및 관련 물품 도매업
691,032750,삼진,통신 및 방송 장비 제조업
692,032790,엠젠플러스,기계장비 및 관련 물품 도매업
693,032800,판타지오,창작 및 예술관련 서비스업
694,032820,우리기술,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
695,032830,삼성생명,보험업
696,032850,비트컴퓨터,소프트웨어 개발 및 공급업
697,032860,글로스퍼랩스,"해체, 선별 및 원료 재생업"
698,032940,원익,기계장비 및 관련 물품 도매업
699,032960,동일기연,전자부품 제조업
700,032980,바이온,음·식료품 및 담배 도매업
701,033050,제이엠아이,기록매체 복제업
702,033100,제룡전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
703,033110,코너스톤네트웍스,종합 소매업
704,033130,디지틀조선,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
705,033160,엠케이전자,전자부품 제조업
706,033170,시그네틱스,반도체 제조업
707,033180,필룩스,전자부품 제조업
708,033200,모아텍,전자부품 제조업
709,033230,인성정보,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
710,033240,자화전자,전자부품 제조업
711,033250,체시스,자동차 신품 부품 제조업
712,033270,유나이티드제약,의약품 제조업
713,033290,코웰패션,"섬유, 의복, 신발 및 가죽제품 소매업"
714,033310,엠투엔,기타 금속 가공제품 제조업
715,033320,제이씨현시스템,기계장비 및 관련 물품 도매업
716,033340,좋은사람들,봉제의복 제조업
717,033430,디에스티,특수 목적용 기계 제조업
718,033500,동성화인텍,기초 화학물질 제조업
719,033530,세종공업,자동차 신품 부품 제조업
720,033540,파라텍,특수 목적용 기계 제조업
721,033560,블루콤,영상 및 음향기기 제조업
722,033600,럭슬,자동차 신품 부품 제조업
723,033640,네패스,반도체 제조업
724,033660,아주캐피탈,기타 금융업
725,033780,KT&G,담배 제조업
726,033790,스카이문스테크놀로지,통신 및 방송 장비 제조업
727,033830,티비씨,텔레비전 방송업
728,033920,무학,알코올음료 제조업
729,034020,두산중공업,일반 목적용 기계 제조업
730,034120,SBS,텔레비전 방송업
731,034220,LG디스플레이,전자부품 제조업
732,034230,파라다이스,유원지 및 기타 오락관련 서비스업
733,034300,신세계건설,건물 건설업
734,034310,NICE,회사 본부 및 경영 컨설팅 서비스업
735,034590,인천도시가스,연료용 가스 제조 및 배관공급업
736,034730,SK,기타 금융업
737,034810,해성산업,부동산 임대 및 공급업
738,034830,한국토지신탁,신탁업 및 집합투자업
739,034940,조아제약,의약품 제조업
740,034950,한국기업평가,기타 사업지원 서비스업
741,035000,지투알,회사 본부 및 경영 컨설팅 서비스업
742,035080,인터파크,무점포 소매업
743,035150,백산,플라스틱제품 제조업
744,035200,프럼파스트,플라스틱제품 제조업
745,035250,강원랜드,유원지 및 기타 오락관련 서비스업
746,035290,더블유에프엠,"서적, 잡지 및 기타 인쇄물 출판업"
747,035420,NAVER,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
748,035460,기산텔레콤,통신 및 방송 장비 제조업
749,035510,신세계 I&C,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
750,035600,KG이니시스,소프트웨어 개발 및 공급업
751,035610,솔본,회사 본부 및 경영 컨설팅 서비스업
752,035620,바른손이앤에이,"영화, 비디오물, 방송프로그램 제작 및 배급업"
753,035720,카카오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
754,035760,CJ ENM,텔레비전 방송업
755,035810,이지홀딩스,동물용 사료 및 조제식품 제조업
756,035890,서희건설,건물 건설업
757,035900,JYP Ent.,오디오물 출판 및 원판 녹음업
758,036000,예림당,"서적, 잡지 및 기타 인쇄물 출판업"
759,036010,아비코전자,전자부품 제조업
760,036030,KTH,상품 중개업
761,036090,위지트,특수 목적용 기계 제조업
762,036120,SCI평가정보,기타 정보 서비스업
763,036170,라이브파이낸셜,반도체 제조업
764,036180,에이프런티어,기계장비 및 관련 물품 도매업
765,036190,금화피에스시,전기 및 통신 공사업
766,036200,유니셈,특수 목적용 기계 제조업
767,036260,이매진아시아,"영화, 비디오물, 방송프로그램 제작 및 배급업"
768,036420,제이콘텐트리,"영화, 비디오물, 방송프로그램 제작 및 배급업"
769,036460,한국가스공사,연료용 가스 제조 및 배관공급업
770,036480,대성미생물,의약품 제조업
771,036490,SK머티리얼즈,기초 화학물질 제조업
772,036530,S&T홀딩스,기타 금융업
773,036540,SFA반도체,반도체 제조업
774,036560,영풍정밀,일반 목적용 기계 제조업
775,036570,엔씨소프트,소프트웨어 개발 및 공급업
776,036580,팜스코,"곡물가공품, 전분 및 전분제품 제조업"
777,036620,버추얼텍,기타 전문 도매업
778,036630,세종텔레콤,전기 통신업
779,036640,HRS,합성고무 및 플라스틱 물질 제조업
780,036670,KCI,기타 화학제품 제조업
781,036690,코맥스,통신 및 방송 장비 제조업
782,036710,심텍홀딩스,통신 및 방송 장비 제조업
783,036800,나이스정보통신,전기 통신업
784,036810,에프에스티,전자부품 제조업
785,036830,솔브레인홀딩스,기타 화학제품 제조업
786,036890,진성티이씨,특수 목적용 기계 제조업
787,036930,주성엔지니어링,특수 목적용 기계 제조업
788,037030,파워넷,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
789,037070,파세코,가정용 기기 제조업
790,037230,한국팩키지,"골판지, 종이 상자 및 종이용기 제조업"
791,037270,YG PLUS,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
792,037330,인지디스플레,전자부품 제조업
793,037350,성도이엔지,"건축기술, 엔지니어링 및 관련 기술 서비스업"
794,037370,EG,기타 전문 도매업
795,037400,우리조명,전구 및 조명장치 제조업
796,037440,희림,"건축기술, 엔지니어링 및 관련 기술 서비스업"
797,037460,삼지전자,통신 및 방송 장비 제조업
798,037560,LG헬로비전,텔레비전 방송업
799,037710,광주신세계,종합 소매업
800,037760,쎄니트,1차 철강 제조업
801,037950,엘컴텍,전자부품 제조업
802,038010,제일테크노스,"구조용 금속제품, 탱크 및 증기발생기 제조업"
803,038060,루멘스,반도체 제조업
804,038070,서린바이오,기타 전문 도매업
805,038110,에코플라스틱,자동차 신품 부품 제조업
806,038160,팍스넷,기타 정보 서비스업
807,038290,마크로젠,"그외 기타 전문, 과학 및 기술 서비스업"
808,038340,UCI,일반 교습 학원
809,038390,레드캡투어,여행사 및 기타 여행보조 서비스업
810,038460,바이오스마트,전자부품 제조업
811,038500,삼표시멘트,기타 비금속 광물제품 제조업
812,038530,골드퍼시픽,생활용품 도매업
813,038540,상상인,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
814,038620,위즈코프,연료 소매업
815,038680,에스넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
816,038870,에코바이오,사업시설 유지·관리 서비스업
817,038880,아이에이,전자부품 제조업
818,038950,파인디지털,통신 및 방송 장비 제조업
819,039010,현대통신,통신 및 방송 장비 제조업
820,039020,이건홀딩스,제재 및 목재 가공업
821,039030,이오테크닉스,특수 목적용 기계 제조업
822,039130,하나투어,여행사 및 기타 여행보조 서비스업
823,039200,오스코텍,의약품 제조업
824,039230,에이아이비트,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
825,039240,경남스틸,1차 철강 제조업
826,039290,인포뱅크,기타 정보 서비스업
827,039310,세중,여행사 및 기타 여행보조 서비스업
828,039340,한국경제TV,텔레비전 방송업
829,039420,케이엘넷,전기 통신업
830,039440,에스티아이,특수 목적용 기계 제조업
831,039490,키움증권,금융 지원 서비스업
832,039560,다산네트웍스,통신 및 방송 장비 제조업
833,039570,HDC아이콘트롤스,전기 및 통신 공사업
834,039610,화성밸브,일반 목적용 기계 제조업
835,039670,한류타임즈,"서적, 잡지 및 기타 인쇄물 출판업"
836,039740,한국정보공학,기타 전문 도매업
837,039830,오로라,전문디자인업
838,039840,디오,의료용 기기 제조업
839,039860,나노엔텍,의료용 기기 제조업
840,039980,리노스,"섬유, 의복, 신발 및 가죽제품 소매업"
841,040160,누리텔레콤,소프트웨어 개발 및 공급업
842,040300,YTN,"영화, 비디오물, 방송프로그램 제작 및 배급업"
843,040350,큐로컴,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
844,040420,정상제이엘에스,일반 교습 학원
845,040610,SG&G,자동차 신품 부품 제조업
846,040910,아이씨디,특수 목적용 기계 제조업
847,041020,인프라웨어,소프트웨어 개발 및 공급업
848,041140,넥슨지티,소프트웨어 개발 및 공급업
849,041190,우리기술투자,기타 금융업
850,041440,에버다임,특수 목적용 기계 제조업
851,041460,한국전자인증,소프트웨어 개발 및 공급업
852,041510,에스엠,오디오물 출판 및 원판 녹음업
853,041520,이라이콤,상품 중개업
854,041590,젬백스지오,실내건축 및 건축마무리 공사업
855,041650,상신브레이크,자동차 신품 부품 제조업
856,041830,인바디,의료용 기기 제조업
857,041910,에스텍파마,의약품 제조업
858,041920,메디아나,의료용 기기 제조업
859,041930,동아화성,고무제품 제조업
860,041960,코미팜,의약품 제조업
861,042000,카페24,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
862,042040,케이피엠테크,기타 화학제품 제조업
863,042110,에스씨디,가정용 기기 제조업
864,042370,비츠로테크,기타 금융업
865,042420,네오위즈홀딩스,소프트웨어 개발 및 공급업
866,042500,링네트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
867,042510,라온시큐어,소프트웨어 개발 및 공급업
868,042520,한스바이오메드,의료용품 및 기타 의약 관련제품 제조업
869,042600,새로닉스,전자부품 제조업
870,042660,대우조선해양,선박 및 보트 건조업
871,042670,두산인프라코어,특수 목적용 기계 제조업
872,042700,한미반도체,특수 목적용 기계 제조업
873,042940,상지카일룸,건물 건설업
874,043090,큐브앤컴퍼니,기타 전문 도매업
875,043100,솔고바이오,의료용 기기 제조업
876,043150,바텍,의료용 기기 제조업
877,043200,파루,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
878,043220,에이치엘비파워,특수 목적용 기계 제조업
879,043260,성호전자,전자부품 제조업
880,043290,케이맥,특수 목적용 기계 제조업
881,043340,에쎈테크,일반 목적용 기계 제조업
882,043360,디지아이,컴퓨터 및 주변장치 제조업
883,043370,평화정공,자동차 신품 부품 제조업
884,043590,크로바하이텍,반도체 제조업
885,043610,지니뮤직,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
886,043650,국순당,알코올음료 제조업
887,043710,서울리거,기타 전문 도매업
888,043910,자연과환경,환경 정화 및 복원업
889,044060,조광ILI,일반 목적용 기계 제조업
890,044180,KD,건물 건설업
891,044340,위닉스,가정용 기기 제조업
892,044380,주연테크,컴퓨터 및 주변장치 제조업
893,044450,KSS해운,해상 운송업
894,044480,경남바이오파마,고무제품 제조업
895,044490,태웅,기타 금속 가공제품 제조업
896,044780,에이치케이,특수 목적용 기계 제조업
897,044820,코스맥스비티아이,기타 금융업
898,044960,이글벳,기타 전문 도매업
899,045060,오공,기타 화학제품 제조업
900,045100,한양이엔지,"건축기술, 엔지니어링 및 관련 기술 서비스업"
901,045300,성우테크론,전자부품 제조업
902,045340,토탈소프트,소프트웨어 개발 및 공급업
903,045390,대아티아이,기타 전기장비 제조업
904,045510,정원엔시스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
905,045520,크린앤사이언스,일반 목적용 기계 제조업
906,045660,에이텍,컴퓨터 및 주변장치 제조업
907,045890,GV,전구 및 조명장치 제조업
908,045970,코아시아,반도체 제조업
909,046070,코다코,자동차 신품 부품 제조업
910,046110,한일네트웍스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
911,046120,오르비텍,기타 과학기술 서비스업
912,046140,SBS콘텐츠허브,"영화, 비디오물, 방송프로그램 제작 및 배급업"
913,046210,파나진,의료용품 및 기타 의약 관련제품 제조업
914,046310,백금T&A,통신 및 방송 장비 제조업
915,046390,삼화네트웍스,"영화, 비디오물, 방송프로그램 제작 및 배급업"
916,046440,KG모빌리언스,소프트웨어 개발 및 공급업
917,046890,서울반도체,반도체 제조업
918,046940,우원개발,기반조성 및 시설물 축조관련 전문공사업
919,046970,우리로,기타 전문 도매업
920,047040,대우건설,건물 건설업
921,047050,포스코인터내셔널,상품 중개업
922,047080,한빛소프트,소프트웨어 개발 및 공급업
923,047310,파워로직스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
924,047400,유니온머티리얼,"내화, 비내화 요업제품 제조업"
925,047560,이스트소프트,소프트웨어 개발 및 공급업
926,047770,코데즈컴바인,봉제의복 제조업
927,047810,한국항공우주,"항공기,우주선 및 부품 제조업"
928,047820,초록뱀,"영화, 비디오물, 방송프로그램 제작 및 배급업"
929,047920,메디포럼제약,자연과학 및 공학 연구개발업
930,048260,오스템임플란트,의료용 기기 제조업
931,048410,현대바이오,기타 화학제품 제조업
932,048430,유라테크,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
933,048470,대동스틸,1차 철강 제조업
934,048530,인트론바이오,기초 의약물질 및 생물학적 제제 제조업
935,048550,SM C&C,광고업
936,048770,TPC,일반 목적용 기계 제조업
937,048830,엔피케이,합성고무 및 플라스틱 물질 제조업
938,048870,시너지이노베이션,의료용 기기 제조업
939,048910,대원미디어,기타 전문 도매업
940,049070,인탑스,통신 및 방송 장비 제조업
941,049080,기가레인,특수 목적용 기계 제조업
942,049120,파인디앤씨,전자부품 제조업
943,049180,셀루메드,기초 의약물질 및 생물학적 제제 제조업
944,049430,코메론,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
945,049470,SGA,소프트웨어 개발 및 공급업
946,049480,오픈베이스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
947,049520,유아이엘,전자부품 제조업
948,049550,잉크테크,기타 화학제품 제조업
949,049630,재영솔루텍,사진장비 및 광학기기 제조업
950,049720,고려신용정보,기타 사업지원 서비스업
951,049770,동원F&B,기타 식품 제조업
952,049800,우진플라임,특수 목적용 기계 제조업
953,049830,승일,기타 금속 가공제품 제조업
954,049950,미래컴퍼니,특수 목적용 기계 제조업
955,049960,쎌바이오텍,기초 의약물질 및 생물학적 제제 제조업
956,050090,휘닉스소재,전자부품 제조업
957,050110,캠시스,전자부품 제조업
958,050120,라이브플렉스,생활용품 도매업
959,050320,아래스,기계장비 및 관련 물품 도매업
960,050540,한국코퍼레이션,기타 사업지원 서비스업
961,050760,에스폴리텍,플라스틱제품 제조업
962,050860,아세아텍,특수 목적용 기계 제조업
963,050890,쏠리드,통신 및 방송 장비 제조업
964,050960,수산아이앤티,소프트웨어 개발 및 공급업
965,051160,지어소프트,소프트웨어 개발 및 공급업
966,051360,토비스,영상 및 음향기기 제조업
967,051370,인터플렉스,전자부품 제조업
968,051380,피씨디렉트,기계장비 및 관련 물품 도매업
969,051390,YW,상품 종합 도매업
970,051490,나라엠앤디,특수 목적용 기계 제조업
971,051500,CJ프레시웨이,음·식료품 및 담배 도매업
972,051600,한전KPS,전기 및 통신 공사업
973,051630,진양화학,플라스틱제품 제조업
974,051780,큐로홀딩스,"영화, 비디오물, 방송프로그램 제작 및 배급업"
975,051900,LG생활건강,기타 화학제품 제조업
976,051910,LG화학,기초 화학물질 제조업
977,051980,센트럴바이오,플라스틱제품 제조업
978,052020,에스티큐브,기계장비 및 관련 물품 도매업
979,052190,이에스에이,창작 및 예술관련 서비스업
980,052220,iMBC,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
981,052260,현대바이오랜드,기타 화학제품 제조업
982,052300,W홀딩컴퍼니,기타 운송관련 서비스업
983,052330,코텍,영상 및 음향기기 제조업
984,052400,코나아이,소프트웨어 개발 및 공급업
985,052420,오성첨단소재,플라스틱제품 제조업
986,052460,아이크래프트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
987,052600,한네트,전기 통신업
988,052670,제일바이오,의약품 제조업
989,052690,한전기술,"건축기술, 엔지니어링 및 관련 기술 서비스업"
990,052710,아모텍,전자부품 제조업
991,052770,아이톡시,소프트웨어 개발 및 공급업
992,052790,액토즈소프트,소프트웨어 개발 및 공급업
993,052860,아이앤씨,반도체 제조업
994,052900,KMH하이텍,플라스틱제품 제조업
995,053030,바이넥스,의약품 제조업
996,053050,지에스이,연료용 가스 제조 및 배관공급업
997,053060,세동,자동차 신품 부품 제조업
998,053080,원방테크,일반 목적용 기계 제조업
999,053110,소리바다,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
1000,053160,프리엠스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1001,053210,스카이라이프,텔레비전 방송업
1002,053260,금강철강,1차 철강 제조업
1003,053270,구영테크,자동차 신품 부품 제조업
1004,053280,예스24,무점포 소매업
1005,053290,NE능률,"서적, 잡지 및 기타 인쇄물 출판업"
1006,053300,한국정보인증,소프트웨어 개발 및 공급업
1007,053350,이니텍,소프트웨어 개발 및 공급업
1008,053450,세코닉스,사진장비 및 광학기기 제조업
1009,053580,웹케시,소프트웨어 개발 및 공급업
1010,053590,한국테크놀로지,자동차 신품 부품 제조업
1011,053610,프로텍,특수 목적용 기계 제조업
1012,053620,태양,기타 금속 가공제품 제조업
1013,053660,현진소재,기타 금속 가공제품 제조업
1014,053690,한미글로벌,"건축기술, 엔지니어링 및 관련 기술 서비스업"
1015,053700,삼보모터스,자동차 신품 부품 제조업
1016,053800,안랩,소프트웨어 개발 및 공급업
1017,053950,경남제약,의약품 제조업
1018,053980,오상자이엘,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1019,054040,한국컴퓨터,전자부품 제조업
1020,054050,농우바이오,작물 재배업
1021,054090,삼진엘앤디,그외 기타 제품 제조업
1022,054180,메디콕스,선박 및 보트 건조업
1023,054210,이랜텍,전자부품 제조업
1024,054220,비츠로시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1025,054300,팬스타엔터프라이즈,일반 목적용 기계 제조업
1026,054410,케이피티유,기타 금속 가공제품 제조업
1027,054450,텔레칩스,반도체 제조업
1028,054540,삼영엠텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
1029,054620,APS홀딩스,기타 금융업
1030,054630,에이디칩스,그외 기타 제품 제조업
1031,054670,대한뉴팜,의약품 제조업
1032,054780,키이스트,"영화, 비디오물, 방송프로그램 제작 및 배급업"
1033,054800,아이디스홀딩스,기타 전문 서비스업
1034,054920,한컴위드,소프트웨어 개발 및 공급업
1035,054930,유신,"건축기술, 엔지니어링 및 관련 기술 서비스업"
1036,054940,엑사이엔씨,실내건축 및 건축마무리 공사업
1037,054950,제이브이엠,일반 목적용 기계 제조업
1038,055490,테이팩스,플라스틱제품 제조업
1039,055550,신한지주,기타 금융업
1040,056000,네스엠,소프트웨어 개발 및 공급업
1041,056080,유진로봇,특수 목적용 기계 제조업
1042,056090,유앤아이,의료용 기기 제조업
1043,056190,에스에프에이,특수 목적용 기계 제조업
1044,056360,코위버,통신 및 방송 장비 제조업
1045,056700,신화인터텍,플라스틱제품 제조업
1046,056730,포스링크,기타 전문 도매업
1047,057030,YBM넷,교육지원 서비스업
1048,057050,현대홈쇼핑,무점포 소매업
1049,057500,SKC 솔믹스,전자부품 제조업
1050,057540,옴니시스템,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1051,057680,티사이언티픽,소프트웨어 개발 및 공급업
1052,057880,필로시스헬스케어,"섬유, 의복, 신발 및 가죽제품 소매업"
1053,058110,멕아이씨에스,의료용 기기 제조업
1054,058220,아리온,통신 및 방송 장비 제조업
1055,058400,KNN,텔레비전 방송업
1056,058420,제이웨이,"영화, 비디오물, 방송프로그램 제작 및 배급업"
1057,058430,포스코강판,1차 철강 제조업
1058,058450,일야,통신 및 방송 장비 제조업
1059,058470,리노공업,전자부품 제조업
1060,058530,슈펙스비앤피,생활용품 도매업
1061,058610,에스피지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1062,058630,엠게임,소프트웨어 개발 및 공급업
1063,058650,세아홀딩스,1차 철강 제조업
1064,058730,다스코,"구조용 금속제품, 탱크 및 증기발생기 제조업"
1065,058820,CMG제약,의약품 제조업
1066,058850,KTcs,기타 정보 서비스업
1067,058860,KTis,기타 정보 서비스업
1068,059090,미코,반도체 제조업
1069,059100,아이컴포넌트,전자부품 제조업
1070,059120,아진엑스텍,반도체 제조업
1071,059210,메타바이오메드,의료용품 및 기타 의약 관련제품 제조업
1072,060150,인선이엔티,폐기물 처리업
1073,060230,이그잭스,전자부품 제조업
1074,060240,룽투코리아,소프트웨어 개발 및 공급업
1075,060250,NHN한국사이버결제,기타 정보 서비스업
1076,060260,뉴보텍,플라스틱제품 제조업
1077,060280,큐렉소,기타 상품 전문 소매업
1078,060300,레드로버,"영화, 비디오물, 방송프로그램 제작 및 배급업"
1079,060310,3S,특수 목적용 기계 제조업
1080,060370,KT서브마린,전기 및 통신 공사업
1081,060380,동양에스텍,1차 철강 제조업
1082,060480,국일신동,1차 비철금속 제조업
1083,060540,에스에이티,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1084,060560,홈센타홀딩스,기타 전문 도매업
1085,060570,드림어스컴퍼니,기타 전문 도매업
1086,060590,씨티씨바이오,의약품 제조업
1087,060720,KH바텍,전자부품 제조업
1088,060850,영림원소프트랩,소프트웨어 개발 및 공급업
1089,060900,대한그린파워,기타 화학제품 제조업
1090,060980,한라홀딩스,기타 금융업
1091,061040,알에프텍,통신 및 방송 장비 제조업
1092,061250,화일약품,의약품 제조업
1093,061970,엘비세미콘,반도체 제조업
1094,062860,티엘아이,반도체 제조업
1095,062970,피피아이,통신 및 방송 장비 제조업
1096,063080,게임빌,소프트웨어 개발 및 공급업
1097,063160,종근당바이오,의약품 제조업
1098,063170,서울옥션,상품 중개업
1099,063440,SM Life Design,기록매체 복제업
1100,063570,한국전자금융,금융 지원 서비스업
1101,063760,이엘피,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
1102,064090,에프앤리퍼블릭,상품 종합 도매업
1103,064240,홈캐스트,영상 및 음향기기 제조업
1104,064260,다날,소프트웨어 개발 및 공급업
1105,064290,인텍플러스,특수 목적용 기계 제조업
1106,064350,현대로템,철도장비 제조업
1107,064480,브리지텍,소프트웨어 개발 및 공급업
1108,064510,에코마이스터,특수 목적용 기계 제조업
1109,064520,바른전자,반도체 제조업
1110,064550,바이오니아,의료용품 및 기타 의약 관련제품 제조업
1111,064760,티씨케이,기타 비금속 광물제품 제조업
