,Date,sum_money
249,2019-08-01,90560085.99118362
533,2019-08-02,90771218.69928329
250,2019-08-07,92973535.5514563
251,2019-08-08,93877703.13070631
252,2019-08-09,93983753.76898432
253,2019-08-12,94897745.73773432
254,2019-08-13,95235081.23639104
255,2019-08-19,95684567.08994976
256,2019-08-20,95799338.00207657
257,2019-08-21,95943924.0279099
258,2019-08-22,97771499.16016807
259,2019-08-23,99714961.29667729
260,2019-08-26,99822457.2687187
261,2019-08-27,102734777.24746871
262,2019-08-28,103671307.68593173
263,2019-08-29,103859874.2615984
264,2019-08-30,107780708.34411176
265,2019-09-02,108464637.0232721
266,2019-09-03,108625238.24001105
267,2019-09-04,108979449.68723363
268,2019-09-05,110039274.74123363
269,2019-09-09,111887065.5015795
270,2019-09-10,114881955.52155764
271,2019-09-11,118006268.57222289
534,2019-09-14,117879529.24762112
272,2019-09-16,117879529.24762112
535,2019-09-17,118274334.49566236
273,2019-09-18,118683383.84990498
274,2019-09-19,120573821.78350058
275,2019-09-20,120944984.6143169
276,2019-09-23,121078609.30996206
277,2019-09-24,122097606.51892099
278,2019-09-25,122973156.14517099
279,2019-09-26,123462913.89284763
280,2019-09-27,124506641.76638126
281,2019-09-30,124315549.73338655
282,2019-10-01,128855183.97163028
283,2019-10-02,131140950.9345066
284,2019-10-04,131271682.06903785
285,2019-10-07,133003482.28546625
286,2019-10-08,133863718.83957747
287,2019-10-10,133852010.94158915
288,2019-10-11,133273528.48051772
289,2019-10-14,136499723.95750013
290,2019-10-16,136664578.0034709
291,2019-10-17,139009718.41365573
292,2019-10-18,139009718.41365573
293,2019-10-21,138979247.8240996
294,2019-10-22,143247414.3898394
295,2019-10-23,143920144.47853777
296,2019-10-24,145701497.3248527
297,2019-10-25,148220605.16365176
298,2019-10-28,150295950.66063368
299,2019-10-29,153469133.21346024
300,2019-10-30,153888192.59582576
301,2019-10-31,155584842.08475778
302,2019-11-01,156261818.2481371
303,2019-11-04,156727734.00218216
304,2019-11-05,156727734.00218216
305,2019-11-06,158984565.99018517
306,2019-11-07,159753479.27647412
307,2019-11-08,162380711.34304416
308,2019-11-11,162664065.68199417
309,2019-11-12,164045469.14552557
310,2019-11-13,164045469.14552557
311,2019-11-14,167580243.27909082
312,2019-11-15,167530863.50969908
313,2019-11-18,168573489.93426564
314,2019-11-19,172442468.4162258
315,2019-11-20,172786770.76034743
316,2019-11-21,175067259.86260694
317,2019-11-22,179860956.89445665
318,2019-11-25,183115008.17219928
319,2019-11-26,186766306.1916465
536,2019-11-27,186682168.18173927
320,2019-11-28,188425646.21173927
321,2019-11-29,190244951.3737687
322,2019-12-02,194124525.71703827
323,2019-12-03,194939552.37783372
324,2019-12-04,193747245.45775175
325,2019-12-05,192687865.7867543
326,2019-12-06,193460910.6749353
327,2019-12-09,194566391.16933802
328,2019-12-10,195735020.27923438
329,2019-12-11,197050933.375228
330,2019-12-12,195382006.30852842
331,2019-12-13,196934003.06509128
332,2019-12-16,198508045.70005777
333,2019-12-17,199163243.677466
334,2019-12-18,199953853.45483625
537,2019-12-19,200368776.8715029
335,2019-12-20,205461460.38169056
336,2019-12-23,203022640.66577196
337,2019-12-24,206117601.7197828
338,2019-12-26,212139012.30008635
339,2019-12-27,215048692.23275226
340,2019-12-30,213887776.15947807
341,2020-01-02,216269951.1978531
342,2020-01-03,216938994.16197816
343,2020-01-07,218802052.67098287
344,2020-01-08,217486141.38579294
345,2020-01-09,223198547.03891692
346,2020-01-13,224429621.98993653
347,2020-01-14,225609152.663232
348,2020-01-15,226900318.78712487
349,2020-01-16,228039215.05131087
350,2020-01-17,229426980.442827
351,2020-01-20,231471125.6520341
352,2020-01-21,232126820.96754947
353,2020-01-22,235771350.50996453
354,2020-01-23,239525306.77006269
538,2020-01-25,237484578.38169554
355,2020-01-28,241790360.8347059
356,2020-01-29,244064800.56360105
357,2020-01-30,245178148.10905558
358,2020-01-31,242756485.87589312
359,2020-02-03,249664594.3945716
360,2020-02-04,251776983.7853489
361,2020-02-06,254627351.81750453
362,2020-02-07,255049801.73909545
363,2020-02-10,255844364.21306503
364,2020-02-11,258332450.61406505
365,2020-02-12,260383579.8696307
366,2020-02-13,260642538.26214826
367,2020-02-14,264102794.27376187
368,2020-02-17,264447402.39590228
369,2020-02-18,264447402.39590228
370,2020-02-19,264558341.78541207
371,2020-02-20,267507122.62089038
372,2020-02-21,270184486.6446576
373,2020-02-24,272812030.71265763
374,2020-02-25,280660295.9134726
375,2020-02-26,280926923.1889726
376,2020-02-27,287872452.3806273
377,2020-02-28,287121463.5961288
378,2020-03-02,296200094.1006122
379,2020-03-03,301237614.9355548
380,2020-03-04,306635961.0052517
381,2020-03-10,312999902.3185927
382,2020-03-11,316619924.215928
383,2020-03-12,316619924.215928
539,2020-03-13,314733576.9268817
384,2020-03-18,317794360.8951317
385,2020-03-25,320884911.04613173
386,2020-04-07,326190233.21583503
387,2020-04-09,329304365.3638429
388,2020-04-10,330014924.6854636
389,2020-04-13,333224319.7824636
390,2020-04-14,340148350.1424658
391,2020-04-16,346646431.5600168
392,2020-04-17,359488835.5249727
393,2020-04-20,363556618.075361
394,2020-04-21,360601076.4267595
395,2020-04-22,362709090.18180114
396,2020-04-23,365358387.71573234
397,2020-04-27,372467322.7601222
398,2020-04-28,375232176.32781446
399,2020-04-29,381271219.3909471
540,2020-05-02,382583799.1146744
400,2020-05-04,384337113.3782881
401,2020-05-06,394859410.32843184
402,2020-05-07,400275173.9053044
403,2020-05-08,408597320.8236507
404,2020-05-11,409973758.87757814
405,2020-05-12,411983207.68039507
406,2020-05-13,423131191.22451514
407,2020-05-14,430260755.7377547
408,2020-05-15,434897605.54455227
409,2020-05-18,435948208.0501225
410,2020-05-19,445778619.4845189
411,2020-05-20,451699632.10040545
412,2020-05-21,459208942.058012
413,2020-05-22,465847462.93614554
414,2020-05-25,478090412.4163243
415,2020-05-26,485295926.6673683
416,2020-05-27,486712888.92714506
417,2020-05-28,491922027.1239759
418,2020-05-29,497872678.0677856
419,2020-06-01,505043971.3158171
420,2020-06-02,506206895.32018125
421,2020-06-03,508813142.59347475
422,2020-06-04,514790258.12122786
423,2020-06-05,523598661.4658184
424,2020-06-08,532404229.28168213
425,2020-06-09,539954796.6307634
426,2020-06-10,544708350.2112733
427,2020-06-11,545166625.0588943
428,2020-06-12,533085164.7027973
429,2020-06-15,506190055.6231743
430,2020-06-16,524944661.5351572
431,2020-06-18,531947657.8012084
432,2020-06-19,540188085.7552161
433,2020-06-22,545480262.7367611
434,2020-06-23,546526754.7573045
435,2020-06-24,552418569.7625675
436,2020-06-25,558736236.3475564
437,2020-06-26,569685508.9759319
438,2020-06-29,575673914.327091
439,2020-06-30,592873673.5950968
440,2020-07-01,599681718.583907
441,2020-07-02,614977501.162089
442,2020-07-03,618350112.5564713
443,2020-07-06,627320202.5522923
444,2020-07-07,634178571.5599828
445,2020-07-08,634178571.5599828
446,2020-07-09,637383602.372508
447,2020-07-10,650632065.2134513
448,2020-07-13,655976569.314038
449,2020-07-14,663316258.7222147
450,2020-07-15,672434438.1974279
451,2020-07-16,679780686.6076154
452,2020-07-17,697522593.0546987
453,2020-07-20,698225438.3981587
454,2020-07-21,719642057.6275916
455,2020-07-22,722372540.7499053
456,2020-07-23,739949591.2421885
457,2020-07-24,735658971.0198345
458,2020-07-27,749803910.1306435
459,2020-07-28,754130747.3187872
460,2020-07-29,769130603.6138701
461,2020-07-30,782921946.7799999
462,2020-07-31,784442143.0156199
463,2020-08-03,781832988.6263545
464,2020-08-04,796807575.3671505
465,2020-08-05,796807575.3671505
466,2020-08-06,798144923.7491364
467,2020-08-07,804868991.4718437
468,2020-08-10,819801544.7191797
469,2020-08-11,834718695.6703535
470,2020-08-12,841623083.1355574
471,2020-08-13,863250808.5763552
472,2020-08-14,861842502.4057447
473,2020-08-18,872686323.4767842
474,2020-08-19,908828461.419469
475,2020-08-20,928141677.6162109
476,2020-08-21,950306904.5997293
477,2020-08-24,974443143.3688959
478,2020-08-25,993274203.6311288
479,2020-08-26,1003294411.6372538
480,2020-08-27,1003294411.6372538
481,2020-08-28,1039809654.4561868
482,2020-08-31,1049106677.378423
483,2020-09-01,1075370077.8626916
484,2020-09-02,1085348062.5007412
485,2020-09-03,1092530704.159999
486,2020-09-04,1115051742.4059684
487,2020-09-07,1138738920.9661295
488,2020-09-08,1149076652.3109555
489,2020-09-09,1164536630.204418
490,2020-09-10,1210756854.7053442
491,2020-09-11,1226221591.5635931
492,2020-09-14,1257339334.9043462
493,2020-09-15,1263578943.7192109
494,2020-09-16,1274928037.9975984
495,2020-09-17,1300954804.9694593
496,2020-09-18,1307394623.1712499
497,2020-09-21,1288657765.9077003
498,2020-09-22,1287910365.3948498
499,2020-09-23,1330237310.8161848
500,2020-09-24,1397425460.0254934
501,2020-09-25,1457615947.6836314
502,2020-09-28,1493325408.9797866
503,2020-09-29,1527267488.1659038
541,2020-10-03,1532310855.3122675
504,2020-10-05,1581788022.7796307
505,2020-10-06,1581788022.7796307
506,2020-10-07,1624757965.5964108
542,2020-10-08,1621136964.485891
543,2020-10-10,1614919253.4589353
507,2020-10-12,1619416787.1916938
508,2020-10-13,1651472234.8115685
509,2020-10-14,1693855263.5338871
510,2020-10-15,1685479287.507244
511,2020-10-16,1704792750.672701
512,2020-10-19,1730818967.8568997
513,2020-10-20,1734434987.8700657
514,2020-10-21,1786015002.6792264
515,2020-10-22,1846865493.7575731
516,2020-10-23,1863910569.116161
517,2020-10-26,1892964851.0887973
518,2020-10-27,1916429362.1998851
519,2020-10-28,1972400150.963532
520,2020-10-29,2015092462.1514368
521,2020-10-30,2054193008.535749
544,2020-11-02,2068764645.887124
