,P_score,predict,real,stock_name,stock_code,Date
0,48.98,P0,K0,현대차,5380,2019-07-03
0,36.7,M0,P0,알루코,1780,2019-07-03
0,100,P0,P0,삼성전자,5930,2019-07-04
0,84.76,P0,K0,신성이엔지,11930,2019-07-04
0,61.43,P0,P0,파워로직스,47310,2019-07-04
0,58.88,P0,M0,남선알미늄,8350,2019-07-04
0,53.48,P0,P0,이트론,96040,2019-07-04
0,53.05,P0,M0,한창,5110,2019-07-05
0,44.16,M0,P0,HMM,11200,2019-07-05
0,31.09,M0,P0,디와이,13570,2019-07-05
0,8.94,M0,P0,유바이오로직스,206650,2019-07-05
0,59.73,P0,P0,큐로,15590,2019-07-09
0,51.75,P0,P0,이글벳,44960,2019-07-09
0,43.65,M0,P0,에이스테크,88800,2019-07-09
0,25.55,M0,P0,일지테크,19540,2019-07-09
0,36.52,M0,P0,드림시큐리티,203650,2019-07-10
0,26.12,M0,P0,한송네오텍,226440,2019-07-10
0,23.99,M0,P0,동국산업,5160,2019-07-10
0,54.32,P0,P0,재영솔루텍,49630,2019-07-11
0,46.72,M0,P0,대한과학,131220,2019-07-11
0,42.23,M0,P0,한창,5110,2019-07-11
0,32.64,M0,P1,KPX생명과학,114450,2019-07-11
0,31.18,M0,P0,후성,93370,2019-07-11
0,39.47,M0,P0,릭스솔루션,29480,2019-07-12
0,35.35,M0,P0,쌍방울,102280,2019-07-12
0,26.45,M0,P0,모나미,5360,2019-07-15
0,23.52,M0,P0,한화솔루션,9830,2019-07-15
0,46.8,P0,M0,신성통상,5390,2019-07-16
0,33.77,M0,M0,세미콘라이트,214310,2019-07-17
0,74.77,P0,P0,에이스테크,88800,2019-07-18
0,53.45,P0,P0,남성,4270,2019-07-18
0,25.27,M0,P0,모베이스전자,12860,2019-07-18
0,14.99,M0,P0,쏠리드,50890,2019-07-18
0,52.89,P0,P0,이월드,84680,2019-07-19
0,44.61,M0,P0,KPX생명과학,114450,2019-07-19
0,14.41,M0,P1,국일제지,78130,2019-07-19
0,48.42,P0,P0,동국산업,5160,2019-07-22
0,31.77,M0,P1,이트론,96040,2019-07-23
0,10.45,M0,P0,모나미,5360,2019-07-23
0,38.46,P0,M0,동국알앤에스,75970,2019-07-25
0,7.61,M0,P0,세미콘라이트,214310,2019-07-25
0,0,M0,P0,덕성,4830,2019-07-25
0,20.93,M0,P0,THE E&M,89230,2019-07-26
0,60.34,P0,P1,신성통상,5390,2019-07-29
0,63.41,P0,P0,골프존뉴딘홀딩스,121440,2019-07-30
0,47.01,P0,P0,SK하이닉스,660,2019-07-30
0,23.08,M0,P0,동국알앤에스,75970,2019-07-30
0,61.49,P0,P0,에이비프로바이오,195990,2019-07-31
0,56.75,P0,P0,알서포트,131370,2019-07-31
0,19,M0,P0,인지디스플레,37330,2019-07-31
0,34.41,M0,P0,후성,93370,2019-08-01
0,20.55,M0,P0,KR모터스,40,2019-08-01
0,63.33,P0,P0,후성,93370,2019-08-07
0,45.52,P0,P0,크리스탈신소재,900250,2019-08-07
0,20,M0,P0,국일제지,78130,2019-08-07
0,0,K0,P1,이트론,96040,2019-08-08
0,62.11,P0,K0,SK하이닉스,660,2019-08-09
0,37,M0,P1,모나미,5360,2019-08-12
0,41.4,M0,P0,아진산업,13310,2019-08-13
0,39,M0,P0,국영지앤엠,6050,2019-08-19
0,21.92,M0,M0,비덴트,121800,2019-08-20
0,39.77,M0,P0,유니온머티리얼,47400,2019-08-21
0,38.2,M0,P0,테라셈,182690,2019-08-22
0,37.48,M0,P0,신성통상,5390,2019-08-22
0,1.44,M0,P0,이월드,84680,2019-08-22
0,52.64,P0,P0,모나미,5360,2019-08-23
0,24.49,M0,P0,비덴트,121800,2019-08-23
0,16.92,M0,P0,유니온,910,2019-08-23
0,34.57,M0,P0,CJ씨푸드,11150,2019-08-26
0,62.62,P0,M0,헬릭스미스,84990,2019-08-27
0,52.04,P0,P0,바이오스마트,38460,2019-08-27
0,44.54,M0,P0,포비스티앤씨,16670,2019-08-27
0,20.54,M0,P1,남성,4270,2019-08-27
0,44.54,M0,P0,KMH하이텍,52900,2019-08-28
0,53.11,P0,K0,태림포장,11280,2019-08-29
0,53.54,P0,P1,컬러레이,900310,2019-08-30
0,43.82,M0,P0,CJ씨푸드,11150,2019-08-30
0,22.13,M0,P0,쏠리드,50890,2019-08-30
0,17.55,M0,P0,삼성중공업,10140,2019-08-30
0,57.34,P0,M0,유니온머티리얼,47400,2019-09-02
0,37.39,M0,M0,후성,93370,2019-09-02
0,19.28,M0,P0,비덴트,121800,2019-09-02
0,40.52,M0,P0,시노펙스,25320,2019-09-03
0,43.61,M0,P0,남성,4270,2019-09-04
0,37.85,P0,P0,모베이스전자,12860,2019-09-05
0,28,M0,P0,제이씨케미칼,137950,2019-09-09
0,11.17,K0,P0,신성통상,5390,2019-09-09
0,2.87,K0,P0,이화전기,24810,2019-09-09
0,45.64,P0,P0,휘닉스소재,50090,2019-09-10
0,42.55,K0,P1,대아티아이,45390,2019-09-10
0,37.31,M0,P0,우진,105840,2019-09-10
0,32.21,M0,P0,THE E&M,89230,2019-09-10
0,32.14,M0,P0,이글벳,44960,2019-09-10
0,52.97,P0,M0,남성,4270,2019-09-11
0,42.27,M0,P0,이트론,96040,2019-09-11
0,41.83,P0,P0,미코,59090,2019-09-11
0,35.04,M0,P0,보락,2760,2019-09-11
0,31.96,M0,P0,디지탈옵틱,106520,2019-09-11
0,71.35,P0,M0,이지웰,90850,2019-09-16
0,64.8,P0,P0,이월드,84680,2019-09-18
0,37.98,M0,P0,남선알미늄,8350,2019-09-18
0,47.55,M0,P0,바이온,32980,2019-09-19
0,31.45,K0,P0,KNN,58400,2019-09-19
0,28.02,M0,P0,국일제지,78130,2019-09-19
0,25.44,K0,K0,위지트,36090,2019-09-19
0,55.86,P0,P0,라이브플렉스,50120,2019-09-20
0,52.34,P0,P0,파루,43200,2019-09-20
0,61.69,P0,P0,팬오션,28670,2019-09-23
0,19.46,M0,P0,우진,105840,2019-09-23
0,46.13,P0,P0,바이온,32980,2019-09-24
0,36.13,M0,P0,영진약품,3520,2019-09-24
0,35.71,M0,P0,일지테크,19540,2019-09-24
0,19.56,M0,K0,삼부토건,1470,2019-09-24
0,0,M0,P0,KPX생명과학,114450,2019-09-24
0,0,M0,M0,파루,43200,2019-09-25
0,61.71,P0,K0,한솔홈데코,25750,2019-09-26
0,53.01,P0,M0,진원생명과학,11000,2019-09-26
0,47.8,P0,P0,한창,5110,2019-09-26
0,41.5,M0,M0,바이온,32980,2019-09-26
0,39.65,P0,M0,대아티아이,45390,2019-09-26
0,23.41,M0,P0,티플랙스,81150,2019-09-27
0,19.81,M0,P0,SG충방,1380,2019-09-27
0,0,M0,P0,컬러레이,900310,2019-09-27
0,0,M0,M0,삼강엠앤티,100090,2019-09-27
0,100,P0,P0,국영지앤엠,6050,2019-09-30
0,77.68,P0,P0,쏠리드,50890,2019-09-30
0,47.32,M0,P0,메리츠증권,8560,2019-09-30
0,42.48,M0,P0,두산중공업,34020,2019-09-30
0,40.9,P0,P0,한창,5110,2019-09-30
0,75.09,P0,P0,이글벳,44960,2019-10-01
0,48.33,P0,P1,기가레인,49080,2019-10-01
0,35.58,P0,P0,모트렉스,118990,2019-10-01
0,28.7,M0,P1,오성첨단소재,52420,2019-10-01
0,26.14,M0,P1,바이온,32980,2019-10-01
0,85.49,P0,P0,카스,16920,2019-10-02
0,48.77,P0,P0,아가방컴퍼니,13990,2019-10-02
0,36.76,M0,P0,빅텍,65450,2019-10-02
0,36.56,M0,M0,대우부품,9320,2019-10-02
0,27.45,M0,M0,아난티,25980,2019-10-02
0,34.76,M0,P0,아이오케이,78860,2019-10-04
0,87.32,P0,P1,바이넥스,53030,2019-10-07
0,68.21,P0,P0,초록뱀,47820,2019-10-07
0,42.81,M0,P0,대우부품,9320,2019-10-07
0,37.15,M0,P0,삼성중공업,10140,2019-10-07
0,28.81,M0,P0,모베이스전자,12860,2019-10-07
0,42.28,M0,P0,웰크론,65950,2019-10-08
0,33.54,M0,P0,대우건설,47040,2019-10-08
0,72.58,P0,P0,에이비프로바이오,195990,2019-10-10
0,19.45,M0,P0,세우글로벌,13000,2019-10-10
0,7.36,M0,P0,대신정보통신,20180,2019-10-10
0,21.46,M0,K0,THE E&M,89230,2019-10-11
0,36.84,M0,P0,SDN,99220,2019-10-14
0,34.06,K0,M0,기가레인,49080,2019-10-14
0,33.6,M0,P0,SG충방,1380,2019-10-14
0,31.85,M0,P0,한창,5110,2019-10-14
0,0,M0,P0,한미반도체,42700,2019-10-14
0,42.73,P0,K0,THE E&M,89230,2019-10-16
0,40.86,M0,P0,국일제지,78130,2019-10-16
0,28.21,M0,P1,오성첨단소재,52420,2019-10-17
0,16.78,M0,P0,비덴트,121800,2019-10-17
0,23.93,M0,K0,포비스티앤씨,16670,2019-10-18
0,10.28,M0,P0,진도,88790,2019-10-18
0,41.48,P0,P0,셀트리온,68270,2019-10-21
0,23.04,M0,M0,에이프로젠제약,3060,2019-10-21
0,57.99,P0,P0,삼성중공업,10140,2019-10-22
0,52.41,P0,P0,파미셀,5690,2019-10-22
0,42.12,M0,P0,한창,5110,2019-10-22
0,41.27,M0,P0,코리아나,27050,2019-10-22
0,41.21,M0,P0,보성파워텍,6910,2019-10-22
0,31.2,M0,P0,바이넥스,53030,2019-10-23
0,68.94,P0,K0,에이비프로바이오,195990,2019-10-24
0,50.66,P0,P0,소리바다,53110,2019-10-24
0,46.58,P0,P0,우리들휴브레인,118000,2019-10-24
0,25.41,M0,P0,보성파워텍,6910,2019-10-24
0,2.53,K0,P0,글로스퍼랩스,32860,2019-10-24
0,44.31,M0,P0,심텍홀딩스,36710,2019-10-25
0,31.7,M0,P0,케이씨에스,115500,2019-10-25
0,26.79,M0,P0,인지디스플레,37330,2019-10-25
0,24.94,M0,K0,두산중공업,34020,2019-10-25
0,0,M0,K0,현대공업,170030,2019-10-25
0,50.3,P0,M0,SDN,99220,2019-10-28
0,44,M0,P0,KC코트렐,119650,2019-10-28
0,33.09,M0,P0,대우부품,9320,2019-10-28
0,29.5,K0,M0,남선알미늄,8350,2019-10-28
0,21.58,M0,P0,우리기술투자,41190,2019-10-28
0,79.84,P0,P1,라이브파이낸셜,36170,2019-10-29
0,56.53,P0,P0,제이씨케미칼,137950,2019-10-29
0,0,M0,P0,아가방컴퍼니,13990,2019-10-29
0,46.18,P0,P0,한국전력,15760,2019-10-30
