,Date,stock_name,today_win,today_lose,tomorrow_win,tomorrow_lose,day2_win,day2_lose,real_profit,Nasdaq
0,2020-09-15,다우데이타,0.0,0.0,0.0,0.0,0.0,1.0,-0.05647840531561462,U04
0,2020-09-14,더존비즈온,1.0,0.0,0.0,0.0,0.0,0.0,0.04424778761061947,D04
0,2020-09-14,서울반도체,1.0,0.0,0.0,0.0,0.0,0.0,0.01907356948228883,D04
0,2020-09-14,빅텍,0.0,0.0,0.0,0.0,1.0,0.0,0.01,D04
0,2020-09-14,HSD엔진,0.0,0.0,0.0,1.0,0.0,0.0,-0.0663265306122449,D04
0,2020-09-14,한빛소프트,0.0,0.0,0.0,0.0,0.0,1.0,0.003973509933774834,D04
0,2020-09-11,서연,0.0,1.0,0.0,0.0,0.0,0.0,-0.09158878504672897,D04
0,2020-09-11,한일현대시멘트,0.0,0.0,0.0,0.0,0.0,1.0,-0.005545286506469501,D04
0,2020-09-11,현대약품,1.0,0.0,0.0,0.0,0.0,0.0,0.05,D04
0,2020-09-11,가온미디어,0.0,0.0,0.0,0.0,1.0,0.0,0.01,D04
0,2020-09-11,케이엠제약,0.0,0.0,0.0,0.0,0.0,1.0,-0.02151146334559864,D04
0,2020-09-10,한세실업,1.0,0.0,0.0,0.0,0.0,0.0,0.023323615160349854,U04
0,2020-09-10,텔레필드,1.0,0.0,0.0,0.0,0.0,0.0,0.015,U04
0,2020-09-10,제넨바이오,0.0,0.0,0.0,0.0,1.0,0.0,0.01,U04
0,2020-09-10,대동스틸,1.0,0.0,0.0,0.0,0.0,0.0,0.022975929978118162,U04
0,2020-09-10,빅텍,0.0,0.0,0.0,0.0,0.0,1.0,-0.02560819462227913,U04
0,2020-09-09,JW신약,0.0,0.0,0.0,0.0,1.0,0.0,0.01,D04
0,2020-09-09,KPX생명과학,0.0,0.0,0.0,0.0,1.0,0.0,0.01,D04
0,2020-09-09,대원미디어,1.0,0.0,0.0,0.0,0.0,0.0,0.022889842632331903,D04
0,2020-09-09,네오위즈,0.0,0.0,0.0,0.0,1.0,0.0,0.01,D04
0,2020-09-09,에이텍,1.0,0.0,0.0,0.0,0.0,0.0,0.05,D04
0,2020-09-08,인스코비,0.0,0.0,1.0,0.0,0.0,0.0,0.04,D04
0,2020-09-08,큐로,0.0,0.0,0.0,0.0,0.0,1.0,-0.018333333333333333,D04
0,2020-09-08,크리스탈지노믹스,0.0,0.0,0.0,1.0,0.0,0.0,-0.08421052631578947,D04
0,2020-09-08,엠씨넥스,1.0,0.0,0.0,0.0,0.0,0.0,0.05,D04
0,2020-09-08,제넥신,0.0,0.0,0.0,1.0,0.0,0.0,-0.05539691604797259,D04
