,date,nasdaq
791,2015-02-26,T00
792,2015-02-27,U04
793,2015-03-02,D04
794,2015-03-03,U04
795,2015-03-04,D04
796,2015-03-05,T00
797,2015-03-06,U04
798,2015-03-09,D04
799,2015-03-10,U04
800,2015-03-11,D04
801,2015-03-12,T00
802,2015-03-13,U04
803,2015-03-16,D04
804,2015-03-17,U04
805,2015-03-18,U02
806,2015-03-19,U04
807,2015-03-20,U03
808,2015-03-23,U04
809,2015-03-24,D04
810,2015-03-25,D04
811,2015-03-26,D04
812,2015-03-27,T00
813,2015-03-30,U04
814,2015-03-31,U04
815,2015-04-01,D04
816,2015-04-02,D04
817,2015-04-06,U02
818,2015-04-07,U04
819,2015-04-08,T00
820,2015-04-09,U04
821,2015-04-10,U04
822,2015-04-13,U04
823,2015-04-14,T00
824,2015-04-15,T00
825,2015-04-16,U04
826,2015-04-17,T00
827,2015-04-20,D04
828,2015-04-21,U04
829,2015-04-22,U04
830,2015-04-23,U04
831,2015-04-24,U04
832,2015-04-27,U04
833,2015-04-28,D04
834,2015-04-29,T00
835,2015-04-30,D04
836,2015-05-01,D04
837,2015-05-04,U04
838,2015-05-05,U03
839,2015-05-06,D04
840,2015-05-07,D04
841,2015-05-08,U04
842,2015-05-11,U04
843,2015-05-12,T00
844,2015-05-13,D04
845,2015-05-14,U02
846,2015-05-15,U04
847,2015-05-18,T00
848,2015-05-19,U04
849,2015-05-20,T00
850,2015-05-21,T00
851,2015-05-22,U04
852,2015-05-26,T00
853,2015-05-27,D04
854,2015-05-28,U04
855,2015-05-29,T00
856,2015-06-01,D04
857,2015-06-02,U03
858,2015-06-03,T00
859,2015-06-04,U04
860,2015-06-05,D04
861,2015-06-08,U03
862,2015-06-09,D04
863,2015-06-10,T00
864,2015-06-11,U04
865,2015-06-12,U02
866,2015-06-15,D04
867,2015-06-16,D04
868,2015-06-17,U04
869,2015-06-18,U03
870,2015-06-19,U04
871,2015-06-22,D04
872,2015-06-23,U04
873,2015-06-24,U02
874,2015-06-25,D04
875,2015-06-26,T00
876,2015-06-29,D04
877,2015-06-30,D04
878,2015-07-01,U04
879,2015-07-02,U04
880,2015-07-06,T00
881,2015-07-07,D04
882,2015-07-08,U02
883,2015-07-09,D04
884,2015-07-10,U03
885,2015-07-13,U04
886,2015-07-14,U04
887,2015-07-15,U04
888,2015-07-16,T00
889,2015-07-17,U04
890,2015-07-20,U04
891,2015-07-21,U03
892,2015-07-22,T00
893,2015-07-23,D04
894,2015-07-24,D04
895,2015-07-27,D04
896,2015-07-28,D04
897,2015-07-29,U04
898,2015-07-30,U04
899,2015-07-31,U04
900,2015-08-03,T00
901,2015-08-04,T00
902,2015-08-05,T00
903,2015-08-06,U04
904,2015-08-07,D04
905,2015-08-10,T00
906,2015-08-11,U04
907,2015-08-12,D04
908,2015-08-13,U02
909,2015-08-14,T00
910,2015-08-17,U04
911,2015-08-18,U04
912,2015-08-19,D04
913,2015-08-20,D04
914,2015-08-21,D04
915,2015-08-24,D04
916,2015-08-25,D04
917,2015-08-26,D04
918,2015-08-27,U04
919,2015-08-28,U04
920,2015-08-31,U04
921,2015-09-01,D04
922,2015-09-02,D04
923,2015-09-03,U04
924,2015-09-04,D04
925,2015-09-08,D04
926,2015-09-09,U04
927,2015-09-10,D04
928,2015-09-11,U04
929,2015-09-14,U04
930,2015-09-15,D04
931,2015-09-16,U04
932,2015-09-17,U04
933,2015-09-18,U02
934,2015-09-21,D04
935,2015-09-22,U01
936,2015-09-23,D04
937,2015-09-24,T00
938,2015-09-25,D04
939,2015-09-28,D04
940,2015-09-29,D04
941,2015-09-30,D04
942,2015-10-01,U04
943,2015-10-02,U02
944,2015-10-05,U04
945,2015-10-06,U04
946,2015-10-07,D04
947,2015-10-08,U04
948,2015-10-09,U04
949,2015-10-12,U04
950,2015-10-13,U03
951,2015-10-14,D04
952,2015-10-15,D04
953,2015-10-16,U04
954,2015-10-19,U04
955,2015-10-20,U04
956,2015-10-21,D04
957,2015-10-22,D04
958,2015-10-23,U04
959,2015-10-26,U04
960,2015-10-27,U01
961,2015-10-28,T00
962,2015-10-29,U04
963,2015-10-30,D04
964,2015-11-02,D04
965,2015-11-03,U04
966,2015-11-04,U04
967,2015-11-05,T00
968,2015-11-06,D04
969,2015-11-09,U04
970,2015-11-10,D04
971,2015-11-11,T00
972,2015-11-12,D04
973,2015-11-13,D04
974,2015-11-16,D04
975,2015-11-17,U04
976,2015-11-18,T00
977,2015-11-19,U04
978,2015-11-20,T00
979,2015-11-23,U04
980,2015-11-24,T00
981,2015-11-25,T00
982,2015-11-27,U03
983,2015-11-30,U03
984,2015-12-01,D04
985,2015-12-02,U04
986,2015-12-03,D04
987,2015-12-04,D04
988,2015-12-07,U04
989,2015-12-08,D04
990,2015-12-09,T00
991,2015-12-10,D04
992,2015-12-11,U04
993,2015-12-14,D04
994,2015-12-15,U04
995,2015-12-16,U04
996,2015-12-17,U04
997,2015-12-18,D04
998,2015-12-21,D04
999,2015-12-22,U04
1000,2015-12-23,U04
1001,2015-12-24,U04
1002,2015-12-28,U01
1003,2015-12-29,T00
1004,2015-12-30,U04
1005,2015-12-31,D04
1006,2016-01-04,D04
1007,2016-01-05,D04
1008,2016-01-06,T00
1009,2016-01-07,D04
1010,2016-01-08,D04
1011,2016-01-11,D04
1012,2016-01-12,T00
1013,2016-01-13,U04
1014,2016-01-14,D04
1015,2016-01-15,U04
1016,2016-01-19,D04
1017,2016-01-20,T00
1018,2016-01-21,T00
1019,2016-01-22,T00
1020,2016-01-25,U04
1021,2016-01-26,D04
1022,2016-01-27,U04
1023,2016-01-28,D04
1024,2016-01-29,U04
1025,2016-02-01,U04
1026,2016-02-02,U02
1027,2016-02-03,D04
1028,2016-02-04,D04
1029,2016-02-05,U02
1030,2016-02-08,D04
1031,2016-02-09,D04
1032,2016-02-10,D04
1033,2016-02-11,U04
1034,2016-02-12,D04
1035,2016-02-16,U04
1036,2016-02-17,U04
1037,2016-02-18,U04
1038,2016-02-19,D04
1039,2016-02-22,U04
1040,2016-02-23,U04
1041,2016-02-24,D04
1042,2016-02-25,U04
1043,2016-02-26,U04
1044,2016-02-29,U03
1045,2016-03-01,D04
1046,2016-03-02,U04
1047,2016-03-03,U04
1048,2016-03-04,U01
1049,2016-03-07,U03
1050,2016-03-08,T00
1051,2016-03-09,D04
1052,2016-03-10,U04
1053,2016-03-11,T00
1054,2016-03-14,U04
1055,2016-03-15,U01
1056,2016-03-16,D04
1057,2016-03-17,U04
1058,2016-03-18,U03
1059,2016-03-21,U04
1060,2016-03-22,U04
1061,2016-03-23,U03
1062,2016-03-24,D04
1063,2016-03-28,U02
1064,2016-03-29,T00
1065,2016-03-30,U04
1066,2016-03-31,U04
1067,2016-04-01,T00
1068,2016-04-04,U04
1069,2016-04-05,D04
1070,2016-04-06,D04
1071,2016-04-07,U04
1072,2016-04-08,D04
1073,2016-04-11,U01
1074,2016-04-12,D04
1075,2016-04-13,U04
1076,2016-04-14,U04
1077,2016-04-15,T00
1078,2016-04-18,T00
1079,2016-04-19,U04
1080,2016-04-20,D04
1081,2016-04-21,U02
1082,2016-04-22,T00
1083,2016-04-25,D04
1084,2016-04-26,T00
1085,2016-04-27,T00
1086,2016-04-28,D04
1087,2016-04-29,D04
1088,2016-05-02,D04
1089,2016-05-03,U04
1090,2016-05-04,D04
1091,2016-05-05,D04
1092,2016-05-06,T00
1093,2016-05-09,U04
1094,2016-05-10,U04
1095,2016-05-11,U04
1096,2016-05-12,D04
1097,2016-05-13,D04
1098,2016-05-16,D04
1099,2016-05-17,U04
1100,2016-05-18,D04
1101,2016-05-19,U04
1102,2016-05-20,D04
1103,2016-05-23,U04
1104,2016-05-24,T00
1105,2016-05-25,U04
1106,2016-05-26,U04
1107,2016-05-27,U02
1108,2016-05-31,U04
1109,2016-06-01,U04
1110,2016-06-02,U01
1111,2016-06-03,U04
1112,2016-06-06,D04
1113,2016-06-07,U04
1114,2016-06-08,T00
1115,2016-06-09,U03
1116,2016-06-10,D04
1117,2016-06-13,D04
1118,2016-06-14,D04
1119,2016-06-15,T00
1120,2016-06-16,T00
1121,2016-06-17,U03
1122,2016-06-20,D04
1123,2016-06-21,U04
1124,2016-06-22,U02
1125,2016-06-23,T00
1126,2016-06-24,U04
1127,2016-06-27,D04
1128,2016-06-28,D04
1129,2016-06-29,U04
1130,2016-06-30,U04
1131,2016-07-01,U04
1132,2016-07-05,U04
1133,2016-07-06,D04
1134,2016-07-07,U04
1135,2016-07-08,U04
1136,2016-07-11,U04
1137,2016-07-12,U04
1138,2016-07-13,U04
1139,2016-07-14,D04
1140,2016-07-15,U04
1141,2016-07-18,T00
1142,2016-07-19,U04
1143,2016-07-20,D04
1144,2016-07-21,U04
1145,2016-07-22,D04
1146,2016-07-25,U04
1147,2016-07-26,T00
1148,2016-07-27,U03
1149,2016-07-28,U04
1150,2016-07-29,U04
