,종목코드
1105,053280
1106,053290
1107,053300
1108,053350
1109,053450
1110,053580
1111,053590
1112,053610
1113,053620
1114,053660
1115,053690
1116,053700
1117,053800
1118,053950
1119,053980
1120,054040
1121,054050
1122,054090
1123,054180
1124,054210
1125,054220
1126,054300
1127,054410
1128,054450
1129,054540
1130,054620
1131,054630
1132,054670
1133,054780
1134,054800
1135,054920
1136,054930
1137,054940
1138,054950
1139,055490
1140,055550
1141,056000
1142,056080
1143,056090
1144,056190
1145,056360
1146,056700
1147,056730
1148,057030
1149,057050
1150,057500
1151,057540
1152,057680
1153,057880
1154,058110
1155,058220
1156,058400
1157,058420
1158,058430
1159,058450
1160,058470
1161,058530
1162,058610
1163,058630
1164,058650
1165,058730
1166,058820
1167,058850
1168,058860
1169,058970
1170,059090
1171,059100
1172,059120
1173,059210
1174,060150
1175,060230
1176,060240
1177,060250
1178,060260
1179,060280
1180,060300
1181,060310
1182,060370
1183,060380
1184,060480
1185,060540
1186,060560
1187,060570
1188,060590
1189,060720
1190,060850
1191,060900
1192,060980
1193,061040
1194,061250
1195,061970
1196,062860
1197,062970
1198,063080
1199,063160
1200,063170
1201,063440
1202,063570
1203,063760
1204,064090
1205,064240
1206,064260
1207,064290
1208,064350
1209,064480
1210,064510
1211,064520
1212,064550
1213,064760
1214,064800
1215,064820
1216,064850
1217,064960
1218,065060
1219,065130
1220,065150
1221,065170
1222,065350
1223,065370
1224,065420
1225,065440
1226,065450
1227,065500
1228,065510
1229,065530
1230,065560
1231,065570
1232,065620
1233,065650
1234,065660
1235,065680
1236,065690
1237,065710
1238,065770
1239,065950
1240,066110
1241,066130
1242,066310
1243,066360
1244,066410
1245,066430
1246,066570
1247,066575
1248,066590
1249,066620
1250,066670
1251,066700
1252,066790
1253,066830
1254,066900
1255,066910
1256,066970
1257,066980
1258,067000
1259,067010
1260,067080
1261,067160
1262,067170
1263,067280
1264,067290
1265,067310
1266,067370
1267,067390
1268,067570
1269,067630
1270,067730
1271,067770
1272,067830
1273,067900
1274,067920
1275,067990
1276,068050
1277,068240
1278,068270
1279,068290
1280,068330
1281,068400
1282,068760
1283,068790
1284,068930
1285,068940
1286,069080
1287,069110
1288,069140
1289,069260
1290,069330
1291,069410
1292,069460
1293,069510
1294,069540
1295,069620
1296,069640
1297,069730
1298,069920
1299,069960
1300,070300
1301,070590
1302,070960
1303,071050
1304,071055
1305,071090
1306,071200
1307,071280
1308,071320
1309,071460
1310,071670
1311,071840
1312,071850
1313,071950
1314,071970
1315,072020
1316,072130
1317,072470
1318,072520
1319,072710
1320,072770
1321,072870
1322,072950
1323,072990
1324,073010
1325,073070
1326,073110
1327,073190
1328,073240
1329,073490
1330,073540
1331,073560
1332,073570
1333,073640
1334,074430
1335,074600
1336,074610
1337,075130
1338,075180
1339,075580
1340,075970
1341,076080
1342,076340
1343,076610
